Location,ICAO,IATA,Airport name
Kufra,,,Maaten al-Sarra Air Base
Bani Walid,,,Bani Walid Airport
Bayda,HLLQ,LAQ,Al Abraq International Airport
Benghazi,HLLB,BEN,Benina International Airport
Brak,,BCQ,Brak Airport
Brega,HLMB,LMQ,Marsa Brega Airport
Derna,,,Martuba Air Base
Ghadames,HLTD,LTD,Ghadames Airport
Ghat,HLGT,GHT,Ghat Airport
Hun,HLON,HUQ,Hun Airport
Hun,,,Al Jufra Air Base
Kufra,HLKF,AKF,Kufra Airport
Misrata,HLMS,MRA,Misrata Airport
Misrata,,,Nanur Airport
Mizda,,,Habit Awlad Muhammad Airport
Ra 's Lanuf,HLNF,,Ra 's Lanuf Airport
Sabha,HLLS,SEB,Sabha Airport
Sirte,HLGD,SRX,Gardabya Airport
Tobruk,HLGN,TOB,Tobruk Airport
