Original NFL team,Player,Pos,College,Conf
Baltimore Ravens,Dannell Ellerbe,LB,Georgia,SEC
Baltimore Ravens,Graham Gano,K,Florida State,ACC
Buffalo Bills,Ryan Manalac,LB,Cincinnati,Big East
Buffalo Bills,Ashlee Palmer,LB,Mississippi,SEC
Buffalo Bills,Garrison Sanborn,LS,Florida State,ACC
Carolina Panthers,Nick Sundberg,LS,California,Pac-10
Cincinnati Bengals,Dan Skuta,LB,Grand Valley State,GLIAC
Cleveland Browns,Jordan Norwood,WR,Penn State,Big Ten
Dallas Cowboys,Kevin Ogletree,WR,Virginia,ACC
Denver Broncos,Chris Baker,DE,Hampton,MEAC
Denver Broncos,Britton Colquitt,P,Tennessee,SEC
Green Bay Packers,Evan Smith,C,Idaho State,Big Sky
Houston Texans,Arian Foster,RB,Tennessee,SEC
Indianapolis Colts,Ramon Humber,LB,North Dakota State,MVFC
Indianapolis Colts,Tim Masthay,P,Kentucky,SEC
Jacksonville Jaguars,Russell Allen,LB,San Diego State,MWC
Kansas City Chiefs,Jovan Belcher,LB,Maine,CAA
Minnesota Vikings,Colt Anderson,S,Montana,Big Sky
Minnesota Vikings,Kahlil Bell,RB,UCLA,Pac-10
Minnesota Vikings,Jon Cooper,C,Oklahoma,Big 12
