English title,Release date,Developer,Japanese title,Genre
Forgotten Worlds,1988-07,Capcom,Lost Worlds ( ロストワールド ),Shoot 'em up
Ghouls ' n Ghosts,1988-12,Capcom,Daimakaimura ( 大魔界村 ),Platformer
Strider,1989-03,Capcom,Strider Hiryū ( ストライダー飛竜 ),Platformer
Dynasty Wars,1989-04,Capcom,Tenchi o Kurau ( 天地を喰らう ),Beat 'em up
Willow,1989-06,Capcom,Willow ( ウィロー ),Platformer
U.N. Squadron,1989-08,Capcom,Area 88 ( エリア88 ),Shoot 'em up
Final Fight,1989-12,Capcom,Final Fight ( ファイナルファイト ),Beat 'em up
1941 : Counter Attack,1990-02,Capcom,1941 ( 1941 ),Shoot 'em up
Mercs,1990-03-02,Capcom,Senjō no Ōkami II ( 戦場の狼Ⅱ ),Run and gun
Mega Twins,1990-06-19,Capcom,Chiki Chiki Boys ( チキチキボーイズ ),Platformer
Magic Sword - Heroic Fantasy,1990-06-23,Capcom,Magic Sword ( マジックソード ),Platformer
Carrier Air Wing,1990-10-09,Capcom,U.S. Navy ( U.S.NAVY ),Shoot 'em up
Nemo,1990-11-20,Capcom,Nemo ( ニモ ),Platformer
Street Fighter II : The World Warrior,1991-02-06,Capcom,Street Fighter II : The World Warrior ( ストリートファイターⅡ -The World Warrior- ),Head-to-Head Fighting Game
Three Wonders,1991-05-20,Capcom,Wonder 3 ( ワンダー3 ),Multigame
The King of Dragons,1991-07-11,Capcom,The King of Dragons ( ザ・キングオブドラゴンズ ),Beat 'em up
Captain Commando,1991-09-28,Capcom,Captain Commando ( キャプテンコマンドー ),Beat 'em up
Knights of the Round,1991-11-27,Capcom,Knights of the Round ( ナイツオブザラウンド ),Beat 'em up
Street Fighter II : Champion Edition,1992-03-13,Capcom,Street Fighter II′ ( Dash ) : Champion Edition ( ストリートファイターⅡダッシュ -Champion Edition- ),Head-to-Head Fighting Game
Adventure Quiz : Capcom World 2,1992-06-11,Capcom,Adventure Quiz Capcom World 2 ( アドベンチャークイズカプコンワールド2 ),Quiz game
