Player,Age,Country,Position
Vitaly Anikeyenko,24,Russia,D
Mikhail Balandin,31,Russia,D
Gennady Churilov,24,Russia,C
Pavol Demitra,36,Slovakia,C
Robert Dietrich,25,Germany,D
Alexander Galimov,26,Russia,LW
Marat Kalimulin,23,Russia,D
Alexander Kalyanin,23,Russia,RW
Andrei Kiryukhin,24,Russia,RW
Nikita Klyukin,21,Russia,C
Stefan Liv,30,Sweden,G
Jan Marek,31,Czech Republic,C
Sergei Ostapchuk,21,Belarus,LW
Karel Rachůnek,32,Czech Republic,D
Ruslan Salei,36,Belarus,D
Maxim Shuvalov,18,Russia,D
Kārlis Skrastiņš,37,Latvia,D
Pavel Snurnitsyn,19,Russia,F
Daniil Sobchenko,20,Russia,C
Ivan Tkachenko,31,Russia,LW
