Year,Award,Category,Film,Result
1997,Filmfare Awards,Best Villain,Daraar,Won
1999,Filmfare Awards,Best Supporting Actor,Pyaar Kiya To Darna Kya,Nominated
2006,Filmfare Awards South,Filmfare Award for Best Villain - Telugu,Jai Chiranjeeva,Nominated
2011,National Film Awards,Best Popular Film Providing Wholesome Entertainment,Dabangg,Won
2011,Filmfare Awards,Best Movie,Dabangg,Won
2011,IIFA Awards,Best Movie,Dabangg,Won
2011,Zee Cine Award,Best Film,Dabangg,Won
2011,Stardust Awards,Hottest New Film,Dabangg,Won
2011,Stardust Award,Best Film of The Year,Dabangg,Won
2011,Apsara Film & Television Producers Guild Awards,Best Film,Dabangg,Won
2013,Zee Cine Awards 2013,Power Fun Club 1 billion,Dabangg 2,Won
2013,Apsara Awards,Most Popular Film Song,Dabangg 2,Won
