Republic,Local Name,Established,successor
Ukrainian SSR,Академія наук Української РСР,1918,National Academy of Sciences of Ukraine
Byelorussian SSR,Акадэмія Навукаў Беларускай ССР,1929,National Academy of Sciences of Belarus
Uzbek SSR,Ўзбекистон ССР Фанлар академияси,1943,Academy of Sciences of Uzbekistan
Kazakh SSR,Қазақ ССР Ғылым Академиясы,1946,National Academy of Sciences of the Republic of Kazakhstan
Georgian SSR,საქართველოს სსრ მეცნიერებათა აკადემია,1941,Georgian Academy of Sciences
Azerbaijan SSR,Азәрбајҹан ССР Елмләр Академијасы,1945,National Academy of Sciences of Azerbaijan
Lithuanian SSR,Lietuvos TSR Mokslų akademija,1941,Lithuanian Academy of Sciences
Moldavian SSR,Академия де Штиинце а РСС Молдовенешть,1946,Academy of Sciences of Moldova
Latvian SSR,Latvijas PSR Zinātņu akadēmija,1946,Latvian Academy of Sciences
Kirghiz SSR,Кыргыз ССР Илимдер академиясы,1954,National Academy of Sciences of the Kyrgyz Republic
Tajik SSR,Академияи илмҳои ҶШС Тоҷикистон,1953,Academy of Sciences of the Republic of Tajikistan
Armenian SSR,Հայկական ՍՍՀ գիտությունների ակադեմիա,1943,National Academy of Sciences of Armenia
Turkmen SSR,Түркменистан ССР Ылымлар Академиясы,1951,Academy of Sciences of Turkmenistan
Estonian SSR,Eesti NSV Teaduste Akadeemia,1946,Estonian Academy of Sciences
