Player,Recruited from,Recruited to
Matthew Golding,Glenelg,Adelaide Crows
Dean Howard,West Adelaide,Adelaide Crows
Trent Knobel,Broadbeach,Brisbane Lions
Heath Culpitt,Castlemaine,Carlton
Simon Fletcher,Geelong Reserves,Carlton
Dean Rioli,South Fremantle,Essendon
Ashley Clancy,Subiaco,Fremantle
Antoni Grover,Subiaco,Fremantle
Darren Bolton,Peel Thunder,Fremantle
Paul Lindsay,East Fremantle,Geelong
Kent Kingsley,Woodville-West Torrens,Kangaroos
Glen Bowyer,Murray Bushrangers,Hawthorn
Ben Beams,Tassie Mariners,Melbourne
Luke Williams,Oakleigh Chargers,Melbourne
Scott Bassett,Port Adelaide Magpies,Port Adelaide
Ben Hollands,Sydney Reserves,Richmond
Chad Davis,Oakleigh Chargers,St Kilda
James Gowans,Werribee,St Kilda
Gerrard Bennett,Geelong Reserves,Sydney Swans
Brett Kirk,North Albury,Sydney Swans
