Season,Champions,Runners up,Third place,Top scorer ( s ),Goals
2006-07,Crvena Zvezda,Partizan,Vojvodina,Srđan Baljak ( Banat ),18
2007-08,Partizan,Crvena Zvezda,Vojvodina,Nenad Jestrović ( Crvena Zvezda ),13
2008-09,Partizan,Vojvodina,Crvena Zvezda,Lamine Diarra ( Partizan ),19
2009-10,Partizan,Crvena Zvezda,OFK Beograd,Dragan Mrđa ( Vojvodina ),22
2010-11,Partizan,Crvena Zvezda,Vojvodina,Ivica Iliev ( Partizan ) Andrija Kaluđerović ( Crvena Zvezda ),13
2011-12,Partizan,Crvena Zvezda,Vojvodina,Darko Spalević ( Radnički 1923 ),19
2012-13,Partizan,Crvena Zvezda,Vojvodina,Miloš Stojanović ( Jagodina ),19
2013-14,Crvena Zvezda,Partizan,Vojvodina,Dragan Mrđa ( Crvena Zvezda ),19
2014-15,Partizan,Crvena Zvezda,Čukarički,Patrick Friday Eze ( Mladost Lučani ),15
2015-16,Crvena Zvezda,Partizan,Čukarički,Aleksandar Katai ( Crvena Zvezda ),21
2016-17,Partizan,Red Star,Vojvodina,Uroš Đurđević ( Partizan ) Leonardo ( Partizan ),24
2017-18,Crvena Zvezda,Partizan,Radnički,Aleksandar Pesic ( Crvena Zvezda ),25
2018-19,Crvena Zvezda,Radnički,Partizan,Nermin Haskić ( Radnički ),25
