District,Senator,Party,Residence,First elected,Term Limited
1,Steve Buehrer [ 1 ],Republican,Delta,2006,2014
2,Mark Wagoner [ 2 ],Republican,Toledo,2008 ( Appt . ),2016
3,David Goodman [ 3 ],Republican,New Albany,2001 ( Appt . ),2010
4,Gary Cates [ 4 ],Republican,West Chester,2004,2012
5,Tom Roberts,Democratic,Dayton,2002 ( Appt . ),2010
6,Peggy Lehner [ 5 ],Republican,Kettering,2008 ( Appt . ),2016
7,Robert Schuler [ 6 ],Republican,Cincinnati,2002,2010
8,Bill Seitz [ 7 ],Republican,Cincinnati,2007 ( Appt . ),2016
9,Eric Kearney [ 8 ],Democratic,Cincinnati,2005 ( Appt . ),2014
10,Steve Austria [ 9 ],Republican,Beavercreek,2000,2008
11,Teresa Fedor [ 10 ],Democratic,Toledo,2002,2010
12,Keith Faber [ 11 ],Republican,Celina,2007 ( Appt . ),2016
13,Sue Morano [ 12 ],Democratic,Lorain,2006,2014
14,Tom Niehaus [ 13 ],Republican,New Richmond,2004,2012
15,Ray Miller [ 14 ],Democratic,Columbus,2002,2010
16,Steve Stivers [ 15 ],Republican,Columbus,2003 ( Appt . ),2012
17,John Carey [ 16 ],Republican,Wellston,2002,2010
18,Timothy Grendell [ 17 ],Republican,Chesterland,2004,2012
19,Bill Harris [ 18 ],Republican,Ashland,2000 ( Appt . ),2010
20,Joy Padgett [ 19 ],Republican,Coshocton,2004,2012
