Player,Team,GP,G,A,Pts,+/-,PIM
Evgeny Kuznetsov,Washington Capitals,24,12,20,32,+12,16
Alexander Ovechkin,Washington Capitals,24,15,12,27,+8,8
Nicklas Backstrom,Washington Capitals,20,5,18,23,-1,6
Reilly Smith,Vegas Golden Knights,20,5,17,22,+5,10
Jake Guentzel,Pittsburgh Penguins,12,10,11,21,+10,8
Sidney Crosby,Pittsburgh Penguins,12,9,12,21,+7,6
Jonathan Marchessault,Vegas Golden Knights,20,8,13,21,+8,10
T. J. Oshie,Washington Capitals,24,8,13,21,+5,31
Blake Wheeler,Winnipeg Jets,17,3,18,21,+2,10
Mark Scheifele,Winnipeg Jets,17,14,6,20,+6,10
