Date,Co-Hosts,Guests/Segments
March 1,Regis Philbin & Kelly Ripa,"Isla Fisher , Matt Bomer"
March 2,Regis Philbin & Kelly Ripa,"Donald Trump , Abigail Breslin"
March 3,Regis Philbin & Kelly Ripa,"Vanessa Hudgens , Josh Radnor"
March 4,Kelly Ripa & Josh Groban,"Heather Locklear , La Toya Jackson"
March 7,Regis Philbin & Kelly Ripa,"Matthew McConaughey , Darren Criss"
March 8,Regis Philbin & Kelly Ripa,"Robin Williams , Peter Gros"
March 9,Regis Philbin & Kelly Ripa,"Amanda Seyfried , Donnie Wahlberg"
March 10,Regis Philbin & Kelly Ripa,"Jennifer Lopez , Miguel"
March 11,Kelly Ripa & Andy Cohen,"Aaron Eckhart , John Leguizamo"
March 14,Regis Philbin & Kelly Ripa,"Edie Falco , Matthew Morrison , American Idol castoff Ashthon Jones"
March 15,Regis Philbin & Kelly Ripa,Jason Bateman
March 16,Regis Philbin & Kelly Ripa,"Bradley Cooper , Jennifer Beals"
March 17,Regis Philbin & Kelly Ripa,"Daniel Radcliffe , Bridget Moynahan"
March 18,Kelly Ripa & Michael Bublé,Paul Giamatti
March 28,Regis Philbin & Joy Philbin,"Sela Ward , Bindi Irwin , American Idol castoff Karen Rodriguez"
March 29,Regis Philbin & Lisa Rinna,"Sara Ramirez , Susan Lucci"
March 30,Regis Philbin & Cat Deeley,"James Marsden , Dana Delany"
March 31,Regis Philbin & Carrie Ann Inaba,"Jake Gyllenhaal , Howie Mandel , Dancing with the Stars castoffs Mike Catherwood & Lacey Schwimmer"
