Position,Name,School,ABCA,BA,CB
Pitcher,Jay Gehrke,Pepperdine,Y,Y,Y
Pitcher,Ben Sheets,Louisiana-Monroe,Y,Y,Y
Pitcher,Barry Zito,USC,Y,Y,Y
Pitcher,Todd Moser,FAU,Y,-,Y
Pitcher,Mario Ramos,Rice,Y,-,Y
Pitcher,Kurt Ainsworth,LSU,-,Y,-
Pitcher,Mike MacDougal,Wake Forest,-,Y,-
Pitcher,Brendan Belanger,Texas,-,-,Y
Catcher,Josh Bard ( 2 ),Texas Tech,Y,Y,-
Catcher,Chad Sutter,Tulane,-,-,Y
First baseman,Ken Harvey,Nebraska,Y,Y,Y
First baseman,Jon Palmieri,Wake Forest,-,Y,-
Second baseman,Marshall McDougall,Florida State,Y,Y,Y
Third baseman,Ryan Gripp,Creighton,Y,-,-
Third baseman,Xavier Nady,California,-,Y,-
Third baseman,Hunter Bledsoe,Vanderbilt,-,-,Y
Third baseman,Tagg Bozied,San Francisco,-,-,Y
Shortstop,Willie Bloomquist,Arizona State,Y,Y,Y
Outfielder,Daylan Holt,Texas A & M,Y,Y,-
Outfielder,Spencer Oborn,Cal State Fullerton,Y,-,Y
