Year,Title,Role
1967,The Winter 's Tale,
1971,Nicholas and Alexandra,Rasputin
1972,The Canterbury Tales,Jenkin
1973,Cari Genitori,Karl
1973,The Vault of Horror,Moore
1973,Luther,Pope Leo X
1973,Frankenstein : The True Story,Sea captain
1973,The Golden Voyage of Sinbad,Koura
1974,The Mutations,Lynch
1980,The Curse of King Tut 's Tomb,Hasan
1984,The Passionate Pilgrim,Sir Tom
1984,The Zany Adventures of Robin Hood,Sir Guy de Gisbourne
1998,Backtime,Sarge
2000,Dungeons & Dragons,Halvarth
2005,The Magic Roundabout,Zeebad
2010,The Genie in the Bottle,Narrator
2013,Saving Santa,Santa
2019,Wonder Park,Boomer
