Year,Event,Record,Athlete,Nationality
2019,300 m,34.41,Shaunae Miller-Uibo,Bahamas
2017,300 m,30.81,Wayde van Niekerk,South Africa
2011,100 y,9.91+ ( +1.1 m/s ),Veronica Campbell-Brown,Jamaica
2010,100 y,9.07+ ( -0.5 m/s ),Asafa Powell,Jamaica
2008,110 m hurdles,12.87 ( +0.9 m/s ),Dayron Robles,Cuba
2008,One hour,18517 m,Dire Tune,Ethiopia
2007,"20,000 m ( track )",56:25.98+,Haile Gebrselassie,Ethiopia
2007,One hour,21285 m,Haile Gebrselassie,Ethiopia
2004,"10,000 m",26:20.31,Kenenisa Bekele,Ethiopia
2004,Pole vault,4.83 m,Stacy Dragila,United States
2002,3000 m steeplechase,9:21.72,Alesya Turova,Belarus
1995,Pole vault,4.15 m,Daniela Bártová,Czech Republic
1975,100 m,9.9,Silvio Leonard,Cuba
1973,100 m,10.9,Renate Stecher,East Germany
1949,"10,000 m",29:21.2,Emil Zátopek,Czechoslovakia
1949,"10,000 m",29:28.2,Emil Zátopek,Czechoslovakia
