No,Name,Party,Date of Appointment,Date of Retirement
1,Narayan Lal Panchariya,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
2,Ramnarayan Dudi,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
3,Vijay Goel,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
4,Om Prakash Mathur,Bharatiya Janata Party,05-Jul-2016,04-Jul-2022
5,Ram Kumar Verma,Bharatiya Janata Party,05-Jul-2016,04-Jul-2022
6,Harshvardhan Singh,Bharatiya Janata Party,05-Jul-2016,04-Jul-2022
7,Alphons Kannanthanam,Bharatiya Janata Party,09-Nov-2017,04-Jul-2022
8,Bhupender Yadav,Bharatiya Janata Party,04-Apr-2018,03-Apr-2024
9,Kirodi Lal Meena,Bharatiya Janata Party,04-Apr-2018,03-Apr-2024
10,Manmohan Singh,Indian National Congress,19-Aug-2019,03-Apr-2024
