Rank,City,Province,2017 Nominal GDP ( in USD ),2017 Per Capita Nominal Income ( in USD )
1,Karachi,Sindh,$ 64 billion,$ 4292/-
2,Lahore,Punjab,$ 35 billion,$ 3144/-
3,Faisalabad,Punjab,$ 29.5 billion,$ 9207/-
4,Sialkot,Punjab,$ 13 billion,$ 10268/-
5,Gujranwala,Punjab,$ 12 billion,$ 5920/-
6,Multan,Punjab,$ 6.5 billion,$ 3472/-
7,Peshawar,Khyber Pakhtunkhwa,$ 6 billion,$ 3045/-
8,Quetta,Baluchistan,$ 4 billion,$ 3996/-
9,Rawalpindi,Punjab,$ 3.96 billion,$ 1887/-
10,Islamabad,Islamabad Capital Territory,$ 3.04 billion,$ 4342/-
11,Hyderabad,sindh,$ 3.00 billion,$ 1731/-
12,Bahawalpur,Punjab,$ 2.9 billion,$ 3805/-
13,Mirpur,Azad Kashmir,$ 1.4 billion,$ 3070/-
14,Abbottabad,Khyber Pakhtunkhwa,$ 1.1 billion,$ 3873/-
