Date,Sport,Venue/Event,Status,Winner/s
6 Aug. 2013-23,Association football,2013-14 CONCACAF Champions League,International,Cruz Azul
3-6,Golf,2014 Kraft Nabisco Championship,International,Lexi Thompson
3-6,Rally,2014 Rally de Portugal,International,Sebastien Ogier ( Volkswagen ) Julien Ingrassia
5,Horse racing,2014 Grand National,Domestic,"Pineau de Re ( jockey : Leighton Aspell , trainer : Richard Newland )"
5-6,Triathlon,2014 ITU World Triathlon Series # 1,International,Men : Javier Gómez Women : Jodie Stimpson
5-15,Ice hockey,/ 2014 IIHF World Championship Division II,International,Estonia is promoted to Division I - Group B Israel is relegated to Division II - Group B Spain is promoted to Division II - Group A Turkey is relegated to Division III
6,Formula One,2014 Bahrain Grand Prix,International,Lewis Hamilton ( Mercedes )
6,Road cycling,2014 Tour of Flanders,International,Fabian Cancellara ( Trek Factory Racing )
6-12,Ice hockey,2014 IIHF World Championship Division III,International,Bulgaria is promoted to Division II - Group B
6-12,Ice hockey,/ 2014 IIHF Women 's World Championship Division I,International,Czech Republic is promoted to the Elite Division Slovakia is relegated to Division I - Group B Latvia is promoted to Division I - Group A Kazakhstan is relegated to Division II - Group A
6-12,Ice hockey,2014 IIHF Women 's World Championship Division II - Group A,International,Italy is promoted to Division I - Group B Australia is relegated to Division II - Group B
7-12,Cycling,2014 Tour of the Basque Country,International,Alberto Contador ( Tinkoff-Saxo )
10-13,Golf,2014 Masters Tournament,International,Bubba Watson
10-25,Amateur boxing,2014 AIBA Youth World Boxing Championships,International,United States ( 3 boxing titles )
11-21 September,Motorsport,2014 FIA European Hill Climb Championship season,Continental,Category I winner : Igor Stefanovski ( Mitsubishi ) Category II winner : Simone Faggioli ( Norma Auto Concept )
13,Marathon,2014 London Marathon ( WMM ),International,Men : Wilson Kipsang Kiprotich Women : Edna Kiplagat
13,Cycling,2014 Paris-Roubaix,International,Niki Terpstra ( Omega Pharma-Quick-Step )
13,Motorcycle racing,2014 Motorcycle Grand Prix of the Americas,International,MotoGP : Marc Márquez ( Honda ) Moto2 : Maverick Viñales ( Kalex ) Moto3 : Jack Miller ( KTM )
13,WTCC,2014 FIA WTCC Race of Morocco,International,José María López ( Citroën ) Sébastien Loeb ( Citroën )
13-18,Squash,El Gouna International 2014,International,Ramy Ashour
