No,Name,Date of birth,Height,Weight,Spike,Block,2015-16 club
1,Fabiana Claudino ( C ),24 January 1985,1.94 m ( 6 ft 4 in ),76 kg ( 168 lb ),314 cm ( 124 in ),293 cm ( 115 in ),SESI São Paulo
2,Juciely Cristina Barreto,18 December 1980,1.84 m ( 6 ft 0 in ),71 kg ( 157 lb ),312 cm ( 123 in ),289 cm ( 114 in ),Rio de Janeiro VC
3,Dani Lins,5 January 1985,1.84 m ( 6 ft 0 in ),68 kg ( 150 lb ),290 cm ( 110 in ),276 cm ( 109 in ),Osasco VC
5,Adenízia da Silva,18 December 1986,1.86 m ( 6 ft 1 in ),63 kg ( 139 lb ),312 cm ( 123 in ),290 cm ( 110 in ),Osasco VC
6,Thaísa Menezes,15 May 1987,1.96 m ( 6 ft 5 in ),79 kg ( 174 lb ),316 cm ( 124 in ),301 cm ( 119 in ),Osasco VC
8,Jaqueline Carvalho,31 December 1986,1.87 m ( 6 ft 2 in ),70 kg ( 150 lb ),302 cm ( 119 in ),286 cm ( 113 in ),Minas Tênis Clube
10,Gabriela Guimarães,19 May 1994,1.80 m ( 5 ft 11 in ),59 kg ( 130 lb ),295 cm ( 116 in ),274 cm ( 108 in ),Rio de Janeiro VC
12,Natália Pereira,4 April 1989,1.86 m ( 6 ft 1 in ),76 kg ( 168 lb ),300 cm ( 120 in ),288 cm ( 113 in ),Rio de Janeiro VC
13,Sheilla Castro,1 July 1983,1.86 m ( 6 ft 1 in ),64 kg ( 141 lb ),302 cm ( 119 in ),284 cm ( 112 in ),VakifBank Istanbul
16,Fernanda Garay,10 May 1986,1.81 m ( 5 ft 11 in ),74 kg ( 163 lb ),308 cm ( 121 in ),288 cm ( 113 in ),Dinamo Moscow
17,Fabíola de Souza,3 February 1983,1.84 m ( 6 ft 0 in ),70 kg ( 150 lb ),300 cm ( 120 in ),285 cm ( 112 in ),Voléro Zürich
19,Léia Silva ( L ),3 January 1985,1.70 m ( 5 ft 7 in ),60 kg ( 130 lb ),268 cm ( 106 in ),254 cm ( 100 in ),Minas TC
