Time,Swimmer,Date,Place
58.77,Angela Kennedy,"February 18 , 1995","Gelsenkirchen , Germany"
58.68,Liu Limin,"December 2 , 1995","Rio de Janeiro , Brazil"
58.29,Misty Hyman,"December 1 , 1996","Sainte-Foy , Quebec"
58.24,Ayari Aoyama,"March 28 , 1997","Tokyo , Japan"
57.79,Jenny Thompson,"April 19 , 1997","Gothenburg , Sweden"
56.90,Jenny Thompson,"December 1 , 1998","College Station , United States"
56.80,Jenny Thompson,"February 12 , 2000","Paris , France"
56.56,Jenny Thompson,"March 18 , 2000","Athens , Greece"
56.55,Martina Moravcová,"January 26 , 2002","Berlin , Germany"
56.34,Natalie Coughlin,"November 22 , 2002","East Meadow , United States"
55.95,Libby Lenton,"August 28 , 2006","Hobart , Australia"
55.89,Felicity Galvez,"April 13 , 2008",Manchester United Kingdom
55.74,Libby Trickett,"April 26 , 2008","Canberra , Australia"
55.68,Jessicah Schipper,"August 12 , 2009","Hobart , Australia"
55.46,Felicity Galvez,"November 11 , 2009","Stockholm , Sweden"
55.05,Diane Bui Duyet,"December 12 , 2009","Istanbul , Turkey"
54.61,Sarah Sjöström,"December 7 , 2014","Doha , Qatar"
