Year,Movie,Director,Co-stars
2004,Sudhu Tumi,"Abhijit Guha , Sudeshna Roy","Prosenjit Chatterjee , Koel Mallick"
2006,Bibar,Subrata Sen,"Subrat Dutt , Tannistha Chatterjee"
2007,I Love You,Ravi Kinagi,Dev
2007,F. M. ( Fun Aur Masti ),Sekhar Surya,"R.K. , Satya"
2009,Cross Connection,"Abhijit Guha , Sudeshna Roy","Ritwik Chakraborty , Abir Chatterjee , Rimjhim Mitra"
2009,Prem Aamar,Raj Chakraborty,Soham Chakraborty
2011,Le Chakka,Raj Chakraborty,Dev
2011,Jaani Dekha Hobe,Birsa Dasgupta,"Parambrata Chatterjee , Anjan Dutt"
2012,Le Halua Le,Raja Chanda,"Soham Chakraborty , Hiran Chatterjee"
2012,Bojhena Shey Bojhena,Raj Chakraborty,"Abir Chatterjee , Soham Chakraborty"
2012,Bawali Unlimited,Sujit Mondal,"Joy , Sourav Nandi , Dev"
2013,Golemale Pirit Koro Na,Anindya Banerjee,"Jisshu Sengupta , Ritwick Chakraborty , Kanchan Mullick"
2013,Asharay Golpo,Arindam Chakraborty,"Abir Chatterjee , Sampurna Lahiri"
2014,Bangali Babu English Mem,Ravi Kinnagi,"Soham Chakraborty , Mimi Chakraborty"
2014,Bachchan,Raja Chanda,"Jeet , Aindrita Ray"
2014,Chatushkon,Srijit Mukherji,"Indrasish Roy , Parambrata Chatterjee , Aparna Sen"
2015,Ebar Shabor,Arindam Sil,"Abir Chatterjee , Swastika Mukherjee"
2015,Lorai : Play to Live,Parambrata Chatterjee,"Prosenjit Chatterjee , Indrasish Roy"
2015,Amanush 2,Rajiv Kumar Biswas,Soham Chakraborty
2015,Jamai 420,Ravi Kinagi,"Soham Chakraborty , Hiran Chatterjee , Ankush Hazra"
