US,Single,Artist
18,All Over Me,Blake Shelton
5,American Child,Phil Vassar
1,Beautiful Mess,Diamond Rio
15,Before I Knew Better,Brad Martin
1,Blessed,Martina McBride
1,Bring On the Rain,Jo Dee Messina with Tim McGraw
1,"Courtesy of the Red , White and Blue ( The Angry American )",Toby Keith
1,The Cowboy in Me,Tim McGraw
12,Cry,Faith Hill
1,Drive ( For Daddy Gene ),Alan Jackson
12,Every River,Brooks & Dunn
12,Forgive,Rebecca Lynn Howard
1,Good Morning Beautiful,Steve Holy
1,The Good Stuff,Kenny Chesney
17,Help Me Understand,Trace Adkins
1,"I Breathe In , I Breathe Out",Chris Cagle
18,I Cry,Tammy Cochran
2,I Do n't Have to Be Me ( 'til Monday ),Steve Azar
7,I Do n't Want You to Go,Carolyn Dawn Johnson
5,I Keep Looking,Sara Evans
