Scientific name,Common name,Family,Conservation concern
Tadarida brasiliensis,Mexican free-tailed bat Brazilian free-tailed bat,Molossidae,High
Corynorhinus rafinesquii,Rafinesque 's big-eared bat,Vespertilionidae,Highest
Eptesicus fuscus,big brown bat,Vespertilionidae,Lowest
Lasionycteris noctivagans,silver-haired bat,Vespertilionidae,Moderate
Lasiurus borealis,eastern red bat,Vespertilionidae,Lowest
Lasiurus seminolus,Seminole bat,Vespertilionidae,Lowest
Lasiurus cinereus,hoary bat,Vespertilionidae,Moderate
Lasiurus intermedius,northern yellow bat,Vespertilionidae,High
Myotis lucifugus,little brown bat,Vespertilionidae,High
Myotis austroriparius,southeastern myotis,Vespertilionidae,High
Myotis grisescens,gray bat,Vespertilionidae,Highest/ U.S . Fish and Wildlife lists as endangered
Myotis septentrionalis,northern long-eared myotis,Vespertilionidae,High
Myotis leibii,eastern small-footed myotis,Vespertilionidae,Moderate
Myotis sodalis,Indiana myotis,Vespertilionidae,Highest/ U.S . Fish and Wildlife lists as endangered
Nycticeius humeralis,evening bat,Vespertilionidae,Lowest
Perimyotis subflavus,eastern pipistrelle tricolored bat,Vespertilionidae,Lowest
