Seasons,Players,Teams
2019,Akhyar Rashid,Johor Darul Ta'zim F.C
2018,Safawi Rasid,Johor Darul Ta'zim F.C
2017,Adam Nor Azlin,Selangor FA
2016,Safawi Rasid,T Team FC
2015,Matthew Davies,Pahang FA
2014,Muhammad Farhan Roslan,Kedah FA
2013,Junior Eldstål,Sarawak FA
2012,Rozaimi Rahman,Sabah FA
2011,Wan Zack Haikal Wan Noor,Harimau Muda
2010,Khairul Fahmi Che Mat,Kelantan FA
2009,Mohd Muslim Ahmad,Harimau Muda
2007-08,Mohd Fadly Baharum,Kedah FA
2006-07,Mohd Zaquan Adha Abdul Radzak,Negeri Sembilan FA
2005-06,Mohd Nor Farhan Muhammad,Terengganu FA
