Frequency,Call sign,Branding,Format,Owner
590 AM,VOCM,590 VOCM,news / talk,Stingray Digital Group Inc
640 AM,CBN,CBC Radio One,news / talk,Canadian Broadcasting Corporation
800 AM,VOWR,VOWR,Christian radio,Wesley United Church
930 AM,CJYQ,Kixx Country,Country music,Stingray Digital Group Inc
1210 AM,VOAR,VOAR,Christian radio,Seventh-day Adventist Church in Newfoundland & Labrador
88.5 FM,CBN-1-FM,CBC Radio One,news / talk,Canadian Broadcasting Corporation
93.5 FM,CHMR-FM,,campus radio,Memorial University of Newfoundland Students ' Union
94.7 FM,CHOZ-FM,OZFM,hot adult contemporary,Newfoundland Broadcasting
97.5 FM,VOCM-FM,97.5 K-Rock,classic rock,Stingray Digital Group Inc
99.1 FM,CKIX-FM,99.1 Hits FM,Contemporary hit radio,Stingray Digital Group Inc
101.1 FM,CKSJ-FM,Coast 101.1,classic hits,Coast Broadcasting
101.9 FM,CBAX-FM-2,Ici Musique,public music,Canadian Broadcasting Corporation
105.9 FM,CBAF-FM-17,Ici Radio-Canada Première,news / talk,Canadian Broadcasting Corporation
106.9 FM,CBN-FM,CBC Music,public music,Canadian Broadcasting Corporation
