No,Player,Date,Opponent,Pitcher
1,Barry Bonds ( 1 ),"May 1 , 2000",New York Mets,Rich Rodriguez
2,Barry Bonds ( 2 ),"May 10 , 2000",St. Louis Cardinals,Andy Benes
3,Barry Bonds ( 3 ),"May 10 , 2000",St. Louis Cardinals,Heathcliff Slocumb
4,Barry Bonds ( 4 ),"May 24 , 2000",Montreal Expos,Mike Thurman
5,Barry Bonds ( 5 ),"July 19 , 2000",San Diego Padres,Brian Meadows
6,Barry Bonds ( 6 ),"September 20 , 2000",Cincinnati Reds,Steve Parris
7,Barry Bonds ( 7 ),"April 17 , 2001",Los Angeles Dodgers,Terry Adams
8,Barry Bonds ( 8 ),"April 18 , 2001",Los Angeles Dodgers,Chan Ho Park
9,Barry Bonds ( 9 ),"May 24 , 2001",Colorado Rockies,John Thomson ( 1 )
10,Felipe Crespo ( 1 ),"May 28 , 2001",Arizona Diamondbacks,Bret Prinz
11,Barry Bonds ( 10 ),"May 30 , 2001",Arizona Diamondbacks,Robert Ellis
12,Barry Bonds ( 11 ),"June 12 , 2001",Anaheim Angels,Pat Rapp
13,Felipe Crespo ( 2 ),"July 8 , 2001",Milwaukee Brewers,Curtis Leskanic
14,Barry Bonds ( 12 ),"August 4 , 2001",Philadelphia Phillies,Nelson Figueroa
15,Barry Bonds ( 13 ),"August 14 , 2001",Florida Marlins,Ricky Bones
16,Barry Bonds ( 14 ),"August 31 , 2001",Colorado Rockies,John Thomson ( 2 )
17,Barry Bonds ( 15 ),"September 29 , 2001",San Diego Padres,Chuck McElroy
18,Barry Bonds ( 16 ),"May 13 , 2002",Atlanta Braves,Kevin Millwood
19,Barry Bonds ( 17 ),"May 18 , 2002",Florida Marlins,Brad Penny
20,Barry Bonds ( 18 ),"May 18 , 2002",Florida Marlins,Vic Darensbourg
