Year 1956,Rider Ernie Rawlins,Circuit Southampton,Series British Speedway Championship - National League
1927,Tommy Maher,Brisbane Exhibition Speedway,Australian National Speedway Championship
1927,Eddie Brinck,Eastern States Expo Speedway,American Motorcyclist Association National
1929,Dennis Atkinson,Cleveland Park Stadium,English Dirt Track League
1930,Eddie Reynolds,Glasgow White City Speedway,British Speedway Championship - Northern League
1931,Indian Allen,Hyde Road Stadium,British Speedway Championship - Southern League
1934,Arij Poldervaart,Pardubice,Golden Helmet of Czechoslovakia
1935,Tom Farndon,New Cross Stadium,Speedway World Championship
1935,Herbert Haigh,Hackney Wick Stadium,Auto-Cycle Union Cup
1937,Stan Hart,Hall Green Speedway,Provincial Championship
1937,Reg Vigor,Wimbledon Stadium,British Speedway Championship - National League
1937,Neil Schiller,Claremont Speedway,Speedway International Tournament
1938,Roy Noble,Warragul,Victorian Auto Cycle Union 's Grass-track Championship
1946,Aussie Rosenfeld,Bradford Odsal Speedway,British Speedway Championship - National League
1946,Charlie Appleby,Brough Park Stadium,British Speedway Championship - Northern League
1947,Nelson Wilson,Harringay,Speedway National Trophy
1947,Martin Schneeweiß,Trabrennbahn Graz,Speedway Austrian Championship
1948,Reg Craven,Poole,Speedway National Trophy
1948,Eric Dunn,Eastbourne Speedway,British Speedway Championship
1948,Billy Wilson,Norwich,British Speedway Championship - National League
1950,Oscar Wessman,Johannesburg,Internationals South Africa versus England
