Date,Name,Moving from,Moving to,Fee
"May 2 , 2009",Franck Defays,Charleroi,F91 Dudelange,Undisclosed
"May 2 , 2009",Christophe Grégoire,Charleroi,Willem II,Loan Return
"May 4 , 2009",Steven de Petter,Dender,Westerlo,Undisclosed
"May 4 , 2009",Sherjill MacDonald,West Bromwich Albion,Germinal Beerschot,Undisclosed
"May 13 , 2009",Mathieu Cornet,Standard,Germinal Beerschot,Undisclosed
"May 16 , 2009",Nana Asare,Mechelen,FC Utrecht,Undisclosed
"May 22 , 2009",Dario Smoje,Gent,Panionios,Free
"May 25 , 2009",Elimane Coulibaly,Kortrijk,Gent,Free
"May 25 , 2009",Jonas De Roeck,Gent,Augsburg,Free
"May 26 , 2009",Yoni Buyens,Lierse,Mechelen,Undisclosed
"May 26 , 2009",Aymar Moro,Lille,Mechelen,Undisclosed
"May 28 , 2009",Marc Hendrikx,Sint-Truiden,Eupen,Free
