Year,Title,Role,Notes
1995-2001,General Hospital,Emily Quartermaine,"Role held : January 20 , 1995 - July 11 , 2001"
2001,Buffy the Vampire Slayer,Janice Penshaw,Episode : All the Way
2002,Boston Public,Melissa Campbell,Episode : Chapter Thirty-Two
2002,The Twilight Zone,Jenna Winslow,Episode : Evergreen
2002,CSI : Miami,Senior Cadet Valerie Barreiro,Episode : Camp Fear
2003,Without a Trace,Clare Metcalfe,Episode : Clare de Lune
2003-2005,Joan of Arcadia,Joan Girardi,Lead role ( 45 episodes )
2007,Babylon Fields,Janine Wunch,Pilot
2008,The Russell Girl,Sarah Russell,Movie
2009,The Unusuals,Detective Casey Shraeger,10 episodes
"2010-2012 , 2016",The Increasingly Poor Decisions of Todd Margaret,Stephanie Daley,6 episodes
2010-2012,House,Martha M. Masters,15 episodes
2012,Portlandia,Bookstore intern,Episode : Cat Nap
2012,Metalocalypse,Trindle ( voice ),Episode : Fanklok
2013,"The Heart , She Holler",Hurlette Headhe,Episode : The Dearranged Marriage
2013-2016,Inside Amy Schumer,Various roles,5 episodes
2013-2015,Two and a Half Men,Jenny,24 episodes
2014,Community,Thought Jacker co-star,Episode : Basic Sandwich ; uncredited
2014,Comedy Bang ! Bang !,Herself,Episode : Amber Tamblyn Wears a Leather Jacket & Black Booties
2016,Lip Sync Battle,Herself,Episode : America Ferrera vs. Amber Tamblyn
