Pos,No,Driver,Constructor
1,101,Alberto Ascari,Ferrari
2,102,Nino Farina,Ferrari
3,109,Maurice Trintignant,Gordini
4,107,Robert Manzon,Gordini
5,103,Piero Taruffi,Ferrari
6,117,Rudi Fischer,Ferrari
7,127,Paul Pietsch,Veritas
8,128,Hans Klenk,Veritas
9,123,Willi Heeks,AFM - BMW
10,105,Felice Bonetto,Maserati
11,108,Jean Behra,Gordini
12,121,Fritz Riess,Veritas - BMW
13,112,Paul Frère,HWM - Alta
14,120,Tony Gaze,HWM - Alta
15,125,Toni Ulmen,Veritas - BMW
16,115,Gino Bianco,Maserati
17,119,Roger Laurent,Ferrari
18,122,Theo Helfrich,Veritas - BMW
19,126,Adolf Brudes,Veritas - BMW
20,129,Josef Peters,Veritas - BMW
