Name,Position,Country,Years,Games,Goals
Freddy Adu,MF,USA,2011 - 13,4,3
Roland Alberg,MF,Netherlands,2016 -,1,2
Don Anding,DF,USA,2013,1,0
Fernando Aristeguieta,FW,Venezuela,2015,1,0
Eric Ayuk,MF,Cameroon,2015 -,4,2
Tranquillo Barnetta,MF,Switzerland,2015 -,2,0
Brian Brown,FW,Jamaica,2014,1,0
Brian Carroll,MF,USA,2011 -,13,2
Conor Casey,FW,USA,2013 - 15,7,1
Warren Creavalle,DF,USA,2015 -,1,0
Danny Cruz,MF,USA,2012 - 15,6,0
Keon Daniel,MF,Trinidad,2011 - 14,3,0
Maurice Edu,MF,USA,2014 -,10,2
Fabinho,DF,Brazil,2013 -,9,1
Gabriel Farfan,MF,USA,2011 - 13,4,0
Michael Farfan,MF,USA,2011 - 13,6,0
Leo Fernandes,MF,USA,2013 -,5,0
Fred,MF,Brazil,"2010 , 2014 - 15",4,0
Ray Gaddis,DF,USA,2012 -,15,0
Gabriel Gómez,MF,Panama,2012,2,1
