English title,Original platform,Release date,Ports
Fatal Fury : King of Fighters,Neo Geo,1991-11-25,"Neo Geo ( MVS , AES ) Neo Geo CD , Sega Genesis , Sharp X68000 , SNES , PlayStation 2 , Virtual Console , PSN , PlayStation 4 , Nintendo Switch , Xbox One"
Fatal Fury 2,Neo Geo,1992-12-10,"Neo Geo ( MVS , AES ) Neo Geo CD , PC Engine , Sega Genesis , SNES , Game Boy , Sharp X68000 , PlayStation 2 , Virtual Console , Nintendo Switch , Xbox One"
Fatal Fury Special,Neo Geo,1993-09-16,"Neo Geo ( MVS , AES ) , FM Towns , Game Gear , Neo Geo , Neo Geo CD , Sega CD , SNES , TurboGrafx-CD , PlayStation 2 , Virtual Console , Sharp X68000 , Xbox Live Arcade , iOS , Nintendo Switch , Microsoft Windows , Xbox One"
Fatal Fury 3 : Road to the Final Victory,Neo Geo,1995-03-27,"Neo Geo ( MVS , AES ) , Neo Geo CD , Sega Saturn , Windows 95 , PlayStation 2 , Virtual Console , Nintendo Switch , Xbox One"
Real Bout Fatal Fury,Neo Geo,1995-12-20,"Neo Geo ( MVS , AES ) , Neo-Geo CD , Sega Saturn , PlayStation , PlayStation 2 , PSN , Virtual Console , PlayStation 4 , Nintendo Switch , Xbox One"
Real Bout Fatal Fury Special,Neo Geo,1997-01-21,"Neo Geo ( MVS , AES ) , Neo-Geo CD , Sega Saturn , PlayStation , Game Boy , PlayStation 2 , PSN , Virtual Console , PlayStation 4 , Nintendo Switch , Xbox One"
Real Bout Fatal Fury 2 : The Newcomers,Neo Geo,1998-03-20,"Neo Geo ( MVS , AES ) , Neo-Geo CD , Neo Geo Pocket Color , PlayStation 2 , Virtual Console , PlayStation 4 , Nintendo Switch , Microsoft Windows , Xbox One"
Real Bout Garou Densetsu Special : Dominated Mind,PlayStation,1998-06-25,"PlayStation , PSN"
Fatal Fury : Wild Ambition,Hyper Neo Geo 64,1999-01-28,"Hyper Neo Geo 64 , PlayStation , PSN"
Fatal Fury : 1st Contact,Neo Geo Pocket Color,1999-04-30,Neo Geo Pocket Color
Garou : Mark of the Wolves,Neo Geo,1999-11-11,"Neo Geo ( MVS , AES ) , Dreamcast , PlayStation 2 , Xbox Live Arcade , iOS , PlayStation 4 , PlayStation Vita , Nintendo Switch , Microsoft Windows , Xbox One"
