City served,Province,ICAO,IATA,Airport name
Ban Lung,Ratanakiri,VDRK,RBE,Ratanakiri Airport
Battambang,Battambang,VDBG,BBM,Battambang Airport
Kampong Cham,Kampong Cham,VDKC,,Kampong Cham Airport
Kampong Chhnang,Kampong Chhnang,VDKH,KZC,Kampong Chhnang Airport
Kampong Thom,Kampong Thom,,KZK,Kampong Thom Airport
Kampot,Kampot,,KMT,Kampot Airport
Koh Kong,Koh Kong,VDKK,KKZ,Koh Kong Airport
Krakor,Pursat,VDSY,KZD,Krakor Airport
Kratié,Kratié,VDKT,KTI,Kratié Airport
Pailin,Pailin,,PAI,Pailin Airport
Phnom Penh,Phnom Penh,VDPP,PNH,Phnom Penh International Airport
Senmonorom,Mondulkiri,VDMK,MWV,Mondulkiri Airport
Siem Reap,Siem Reap,VDSR,REP,Siem Reap International Airport
Sihanoukville,Sihanoukville,VDSV,KOS,Sihanouk International Airport
Stung Treng,Stung Treng,VDST,TNX,Stung Treng Airport
Svay Rieng,Svay Rieng,,SVR,Svay Rieng Airport
Thbeng Meanchey,Preah Vihear,,OMY,Thbeng Meanchey Airport
