Year,Artist,Album,Track ( s ),Label
2019,Ariana Grande feat . Social House,Everything Changed,Boyfriend,Republic Records
2019,24kGoldn,Dropped Outta College,Been Here Before,RECORDS
2019,Juice Wrld,Death Race For Love,Make Believe,Interscope Records
2017,Fifth Harmony,Fifth Harmony,Bridges,Epic
2016,"Taylor Gang feat . Wiz Khalifa , Juicy J , Project Pat , Cash Out",TGOD Volume 1,Freaky Before,Taylor Gang Records
2015,Chevy Woods feat . Wiz Khalifa,The 48 Hunnid Project,Lookin Back,Taylor Gang Records
2015,Chevy Woods feat . Wiz Khalifa,The 48 Hunnid Project,Lookin Back,Taylor Gang Records
2015,Chevy Woods feat Post Malone and Peej,The 48 Hunnid Project,Getcha Some,Taylor Gang Records
2015,Chevy Woods feat . Dej Loaf,The 48 Hunnid Project,All Said And Done,Taylor Gang Records
2015,Case,Heaven 's Door,Heavy Breathing,Entertainment One
2015,Chevy Woods,SXSW I Love Texas,Houston,Taylor Gang Records
2013,No Stress,No Stress,Crazy,Sony Portugal
2011,Keshia Chante,Night & Day,Miss U,Universal
2011,Neverest,About Us,Hello/Goodbye,VicPark Records/ Fontana / Universal
2011,Neverest,About Us,The Chase,VicPark Records/ Fontana / Universal
2011,Neverest,About Us,Everything,VicPark Records/ Fontana / Universal
2011,Neverest,About Us,About Us,VicPark Records/ Fontana / Universal
2010,Mary J. Blige,Stronger With Each Tear,Stay ( Amazon.com exclusive ),Geffen Records
2009,Kristinia DeBarge,Exposed,It 's Got ta Be Love ( co-prod . w/ Babyface ),Sodapop/ Island
2009,Keri Hilson,In a Perfect World,Do It ( iTunes bonus track ),Mosley / Zone-4 / Interscope
