Season,Winner,Runner-up,Third
2005,"Russia Olga Pyleva Svetlana Ishmouratova Ivan Tcherezov Nikolay Kruglov , Jr",Russia Anna Bogaliy-Titovets Olga Zaitseva Sergei Tchepikov Sergei Rozhkov,Germany Uschi Disl Kati Wilhelm Michael Greis Ricco Groß
2006,"Russia Anna Bogaliy-Titovets Sergei Tchepikov Irina Malgina Nikolay Kruglov , Jr",Norway Linda Tjørhom Halvard Hanevold Tora Berger Ole Einar Bjørndalen,France Florence Baverel-Robert Vincent Defrasne Sandrine Bailly Raphaël Poirée
2007,Sweden Helena Jonsson Anna Carin Olofsson Björn Ferry Carl Johan Bergman,France Florence Baverel-Robert Sandrine Bailly Vincent Defrasne Raphaël Poirée,Norway Tora Berger Jori Mørkve Emil Hegle Svendsen Frode Andresen
2008,Germany Sabrina Buchholz Magdalena Neuner Andreas Birnbacher Michael Greis,Belarus Liudmila Kalinchik Darya Domracheva Rustam Valiullin Sergey Novikov,"Russia Svetlana Sleptsova Oksana Neupokoeva Nikolay Kruglov , Jr. Dmitri Yaroshenko"
2009,France Marie-Laure Brunet Sylvie Becaert Vincent Defrasne Simon Fourcade,Sweden Helena Jonsson Anna Carin Olofsson-Zidek David Ekholm Carl Johan Bergman,Germany Andrea Henkel Simone Hauswald Arnd Peiffer Michael Greis
2010,Germany Simone Hauswald Magdalena Neuner Simon Schempp Arnd Peiffer,Norway Ann Kristin Flatland Tora Berger Emil Hegle Svendsen Ole Einar Bjørndalen,Sweden Helena Jonsson Anna Carin Olofsson-Zidek Björn Ferry Carl Johan Bergman
2011,Norway Tora Berger Ann Kristin Aafedt Flatland Ole Einar Bjørndalen Tarjei Bø,Germany Andrea Henkel Magdalena Neuner Arnd Peiffer Michael Greis,France Marie-Laure Brunet Marie Dorin Alexis Bœuf Martin Fourcade
2012,Norway Tora Berger Synnøve Solemdal Ole Einar Bjørndalen Emil Hegle Svendsen,Slovenia Andreja Mali Teja Gregorin Klemen Bauer Jakov Fak,Germany Andrea Henkel Magdalena Neuner Andreas Birnbacher Arnd Peiffer
2013,Norway Tora Berger ( 3 ) Synnøve Solemdal Tarjei Bø Emil Hegle Svendsen,France Marie-Laure Brunet Marie Dorin Habert Alexis Bœuf Martin Fourcade,Czech Republic Veronika Vítková Gabriela Soukalová Jaroslav Soukup Ondřej Moravec
2015,Czech Republic Veronika Vítková Gabriela Soukalová Michal Šlesingr Ondřej Moravec,France Anaïs Bescond Marie Dorin Habert Jean-Guillaume Béatrix Martin Fourcade,Norway Fanny Welle-Strand Horn Tiril Eckhoff Johannes Thingnes Bø Tarjei Bø
2016,France Anaïs Bescond Marie Dorin Habert Quentin Fillon Maillet Martin Fourcade,Germany Franziska Preuß Franziska Hildebrand Arnd Peiffer Simon Schempp,Norway Marte Olsbu Tiril Eckhoff Johannes Thingnes Bø Tarjei Bø
2017,Germany Vanessa Hinz Laura Dahlmeier Arnd Peiffer Simon Schempp,France Anais Chevalier Marie Dorin Habert Quentin Fillon Maillet Martin Fourcade,Russia Olga Podchufarova Tatiana Akimova Alexandr Loginov Anton Shipulin
2019,Norway Marte Olsbu Røiseland Tiril Eckhoff Johannes Thingnes Bø Vetle Sjåstad Christiansen,Germany Vanessa Hinz Denise Herrmann Arnd Peiffer Benedikt Doll,Italy Lisa Vittozzi Dorothea Wierer Lukas Hofer Dominik Windisch
