Venue,Sports,Capacity
Beijing National Aquatic Center,"Swimming , Diving and Synchronized Swimming","17,000"
Beijing National Indoor Stadium,"Gymnastics ( artistic , trampoline ) , Handball ( final )","19,000"
Beijing National Stadium,"Athletics , Football ( final )","91,000"
Beijing Science and Technology University Gymnasium,"Judo , Taekwondo","8,024"
Beijing Shooting Range Hall,"Shooting ( pistol , rifle )","9,000"
Beijing University of Technology Gymnasium,"Badminton , Gymnastics ( rhythmic )","7,500"
China Agricultural University Gymnasium,Wrestling,"8,000"
Laoshan Velodrome,Cycling ( track ),"6,000"
Olympic Green Tennis Center,Tennis,"17,400"
Peking University Gymnasium,Table tennis,"8,000"
Shunyi Olympic Rowing-Canoeing Park,"Rowing , Canoeing , and Swimming ( marathon )","37,000"
Wukesong Indoor Stadium,Basketball,"18,000"
