Year,Athlete,Country,Time
1980,Arne Stigsen,Denmark,2:19:27
1981,Ove Larsen,Denmark,2:24:10
1982,Henrik Jørgensen,Denmark,2:22:19
1983,Henrik Jørgensen,Denmark,2:16:41
1984,Philippe Adams,Belgium,2:22:18
1985,Ole Jacobsen,Denmark,2:22:18
1986,Svend Erik Kristensen,Denmark,2:15:04
1987,Svend Erik Kristensen,Denmark,2:14:16
1988,Allan Zachariasen,Denmark,2:21:19
1989,Beat Imhof,Switzerland,2:29:22
1990,Alexander Schatz,Denmark,2:23:17
1991,Stanislaw Cembrzynski,Poland,2:21:59
1992,Alexander Kouftyrev,Russia,2:24:07
1993,Stanislaw Cembrzynski,Poland,2:22:58
1994,Joel Kipchumba,Kenya,2:20:20
1995,Stanislaw Cembrzynski,Poland,2:20:09
1996,Palle Madsen,Denmark,2:24:43
1997,Søren Rasmussen,Denmark,2:21:28
1998,Januz Sarnicki,Poland,2:24:12
1999,Wislaw Göra,Denmark,2:21:05
