Station,Chinese name,Line ( s ),District
Jichang,机场,Line 2 ( M2 ),Ganjingzi
Hongganglu,虹港路,Line 2 ( M2 ),Ganjingzi
Hongjinlu,虹锦路,Line 2 ( M2 ),Ganjingzi
Hongqixilu,红旗西路,Line 2 ( M2 ),Ganjingzi
Wanjia,湾家,Line 2 ( M2 ),Ganjingzi
Malanguangchang,马栏广场,Line 2 ( M2 ),Shahekou
Liaoshi,辽师,Line 2 ( M2 ),Shahekou
Jiaotongdaxue,交通大学,Line 2 ( M2 ),Shahekou
Xi'anlu,西安路,Line 2 ( M2 ),Shahekou
Lianhelu,联合路,Line 2 ( M2 ),Shahekou
Renminguangchang,人民广场,Line 2 ( M2 ),Xigang
Yi'erjiujie,一二九街,Line 2 ( M2 ),Xigang
Qingniwaqiao,青泥洼桥,Line 2 ( M2 ),Zhongshan
Youhaoguangchang,友好广场,Line 2 ( M2 ),Zhongshan
Zhongshanguangchang,中山广场,Line 2 ( M2 ),Zhongshan
Gangwanguangchang,港湾广场,Line 2 ( M2 ),Zhongshan
Huiyizhongxin,会议中心,Line 2 ( M2 ),Zhongshan
Hekou,河口,Line 12,Shahekou
Caidaling,蔡大岭,Line 12,Ganjingzi
Huangnichuan,黄泥川,Line 12,Lüshunkou
