Town,Breton name,Population ( 2007 ),Department
Rennes,Roazhon,"211,373",Ille-et-Vilaine
Brest,Brest,"142,722",Finistère
Quimper,Kemper,"63,961",Finistère
Lorient,An Oriant,"58,135",Morbihan
Vannes,Gwened,"52,984",Morbihan
Saint-Malo,Sant-Maloù,"48,563",Ille-et-Vilaine
Saint-Brieuc,Sant-Brieg,"46,178",Côtes-d'Armor
Lanester,Lannarstêr,"22,598",Morbihan
Fougères,Felger,"20,678",Ille-et-Vilaine
Concarneau,Konk Kerne,"20,280",Finistère
Lannion,Lannuon,"19,773",Côtes-d'Armor
Plœmeur,Plañvour,"18,509",Morbihan
Vitré,Gwitreg,"16,691",Ille-et-Vilaine
Morlaix,Montroulez,"15,605",Finistère
Douarnenez,Douarnenez,"15,436",Finistère
Cesson-Sévigné,Saozon-Sevigneg,"15,261",Ille-et-Vilaine
Bruz,Bruz,"15,031",Ille-et-Vilaine
