Pick,Player,Recruited from,Club
1,Clive Waterhouse,Port Adelaide,Fremantle
2,Matthew Primus,Norwood,Fitzroy
3,Brendon Fewster,West Perth,West Coast
4,Scott Bamford,North Adelaide,Fitzroy
5,Brendan Krummel,Fremantle,Hawthorn
6,Daniel Healy,Central District,St Kilda
7,Ben Edwards,Claremont,Fremantle
8,Jared Crouch,Norwood,Sydney
9,Allen Jakovich,Melbourne,Footscray
10,Simon Prestigiacomo,Northern Knights,Collingwood
11,Don Cockatoo-Collins,Port Adelaide,Melbourne
12,Andrew Gowling,South Adelaide,Brisbane Bears
13,Brad Rowe,Collingwood,Fremantle
14,Luke Trew,Murray Bushrangers,West Coast
15,Darren Wheildon,West Adelaide,Essendon
16,Shane Clayton,Northern Knights,Fitzroy
17,Scott Welsh,West Adelaide,North Melbourne
18,Brent Williams,Prahran Dragons,Adelaide
19,Barry Hall,Murray Bushrangers,St Kilda
20,Nick Carter,Bendigo Pioneers,Fitzroy
