Band,Years active,Origin,Studio albums
Acroma,1999-2004,"Salt Lake City , Utah",Orbitals ( 2003 )
Adelitas Way,2006-present,"Las Vegas , Nevada",Adelitas Way ( 2009 ) Home School Valedictorian ( 2011 ) Stuck ( 2014 ) Getaway ( 2016 ) Notorious ( 2017 )
Age of Days,2012-present,"Fredericton , New Brunswick",Radioactivity ( 2013 )
Age of Daze pre- Age of Days,2005-2011,"Fredericton , New Brunswick",Hollywood Ending ( 2008 )
Alter Bridge,2004-present,"Orlando , Florida",One Day Remains ( 2004 ) Blackbird ( 2007 ) AB III ( 2010 ) Fortress ( 2013 ) The Last Hero ( 2016 ) Walk the Sky ( 2019 )
Another Animal,"2006-2008 , 2011","Pittsfield , New Hampshire",Another Animal ( 2007 )
Aranda,2001-present,"Oklahoma City , Oklahoma",Aranda ( 2008 ) Stop the World ( 2012 ) Not the Same ( 2015 )
Army of Anyone,2005-2007,"Los Angeles , California",Army of Anyone ( 2006 )
Art of Dying,2005-present,"Vancouver , British Columbia",Art of Dying ( 2006 ) Vices and Virtues ( 2011 ) Rise Up ( 2015 )
Atom Smash,2006-present,"Miami , Florida",Love Is in the Missile ( 2010 ) Beautiful Alien ( 2012 ) Passage to the Sun ( 2013 )
Audioslave,2001-2007,"Glendale , California",Audioslave ( 2002 ) Out of Exile ( 2005 ) Revelations ( 2006 )
Audiovent,1993-2004,"Calabasas , California",Papa 's Dojo ( 1999 ) Dirty Sexy Knights in Paris ( 2002 )
Axium,1999-2006,"Kansas City , Missouri",Matter of Time ( 2002 ) Blindsided ( 2003 ) The Story Thus Far ( 2004 )
