Church,Dates,"City , State"
Campbell Chapel AME Church,built NRHP-listed,"Americus , Georgia"
"Arlington Methodist Episcopal Church , South",1873 founded 1908 built 1990 NRHP-listed,"Arlington , Georgia"
Wesleyan Methodist Campground and Tabernacle,built NRHP-listed,"Ashburn , Georgia"
First African Methodist Episcopal Church,built NRHP-listed,"Athens , Georgia"
Butler Street Colored Methodist Episcopal Church,built NRHP-listed,"Atlanta , Georgia"
New Hope African Methodist Episcopal Church and Cemetery,built NRHP-listed,"Atlanta , Georgia"
"Park Street Methodist Episcopal Church , South",built NRHP-listed,"Atlanta , Georgia"
St. Mark Methodist Church,1903 built 1987 NRHP-listed,"Atlanta , Georgia"
Stewart Avenue Methodist Episcopal Church South,built NRHP-listed,"Atlanta , Georgia"
Sam Jones Memorial United Methodist Church,1907 built 1985 NRHP-listed,"Cartersville , Georgia"
Chubb Methodist Episcopal Church,built NRHP-listed,"Cave Spring , Georgia"
Daes Chapel Methodist Church,built NRHP-listed,"Clarkesville , Georgia"
Broad Street Methodist Episcopal Church South,1873 built 1980 NRHP-listd,"Columbus , Georgia"
Methodist Tabernacle,1873 built 1980 NRHP-listed,"Columbus , Georgia"
Rockville Academy and St. Paul Methodist Church Historic District,built NRHP-listed,"Eatonton , Georgia"
Cartecay Methodist Church and Cemetery,built NRHP-listed,"Ellijay , Georgia"
New Hope AME Church,built NRHP-listed,"Guyton , Georgia"
Epworth by the Sea,built NRHP-listed,"Saint Simons Island , Georgia"
"Hartwell Methodist Episcopal Church , South",built NRHP-listed,"Hartwell , Georgia"
St. Thomas African Methodist Episcopal Church,built NRHP-listed,"Hawkinsville , Georgia"
