Season,Winner,Runner-up,Score,Venue
1992,Arsenal,Millwall Lionesses,1-0,"Alt Park , Knowsley"
1993,Arsenal,Knowsley,3-0,"Wembley , London"
1994,Arsenal,Doncaster Rovers Belles,4-0,"Abbey Stadium , Cambridge"
1995,Wimbledon,Villa Aztecs,2-0,"Butlin Road , Rugby"
1996,Wembley,Doncaster Rovers Belles,2-2 ( 5-3 pens ),"Underhill Stadium , Chipping Barnet"
1997,Millwall Lionesses,Everton,2-1,"Underhill Stadium , Chipping Barnet"
1998,Arsenal,Croydon,0-0 ( 4-2 pens ),"Underhill Stadium , Chipping Barnet"
1999,Arsenal,Everton,3-1,"Prenton Park , Birkenhead"
2000,Arsenal,Croydon,4-1,"Underhill Stadium , Chipping Barnet"
2001,Arsenal,Tranmere Rovers,3-0,"Deva Stadium , Chester"
2002,Fulham,Birmingham City,7-1,"Adams Park , Wycombe"
2003,Fulham,Arsenal,1-1 a.e.t . ( 3-2 pens ),"County Ground , Swindon"
2004,Charlton Athletic,Fulham,1-0,"Underhill Stadium , Chipping Barnet"
2005,Arsenal,Charlton Athletic,3-0,"Griffin Park , Brentford"
2006,Charlton Athletic,Arsenal,2-1,"Adams Park , Wycombe"
2007,Arsenal,Leeds United,1-0,"Glanford Park , Scunthorpe"
2008,Everton,Arsenal,1-0,"Brisbane Road , Leyton"
2009,Arsenal,Doncaster Rovers Belles,5-0,"Glanford Park , Scunthorpe"
2010,Leeds Carnegie,Everton,3-1,"Spotland , Rochdale"
2011,Barnet,Nottingham Forest,0-0 a.e.t . ( 4-3 pens ),"Adams Park , Wycombe"
