Year,51.5 kg,56.5 kg,61.5 kg,66.5 kg,71.5 kg,+71.5 kg,Absolute
2007,,Bianca Andrade Barreto ( 1/2 ),Gazzy Parman ( 1/1 ),Hannette Staack ( 1/1 ),Penny Thomas ( 1/1 ),,
2008,Leticia Ribeiro ( 1/2 ),Bianca Andrade Barreto ( 2/2 ),Michele Nicolini ( 1/4 ),,Ana Laura Cordeiro ( 1/2 ),Gabrielle Garcia ( 1/4 ),Ana Laura Cordeiro ( 2/2 )
2009,Sofia Amarante ( 1/2 ),,Sophia McDermott Drysdale ( 1/2 ),Hillary Williams ( 1/2 ),Valerie Worthington ( 1/1 ),Gabrielle Garcia ( 2/4 ),Hillary Williams ( 2/2 )
2010,Leticia Ribeiro ( 2/2 ),,Beatriz Mesquita ( 1/5 ),Emily Kwok ( 1/1 ),Luiza Monteiro ( 1/4 ),Katrina Weilbacher ( 1/1 ),Michele Nicolini ( 2/4 )
2011,,Michele Nicolini ( 3/4 ),Beatriz Mesquita ( 2/5 ),Rachel Demara ( 1/1 ),Fernanda Mazzelli ( 1/2 ),Emily Wetzel ( 1/1 ),Michele Nicolini ( 4/4 )
2012,Sofia Amarante ( 2/2 ),Ana Carolina Vidal ( 1/2 ),Beatriz Mesquita ( 3/5 ),Luiza Monteiro ( 2/4 ),,Fernanda Mazzelli ( 2/2 ),Tammy Griego ( 1/1 )
2013,,Tammi Musumeci ( 1/3 ),Ana Carolina Vidal ( 2/2 ),,Luiza Monteiro ( 3/4 ),Talita Nogueira ( 1/3 ),Talita Nogueira ( 2/3 )
Year,51.5 kg,56.5 kg,61.5 kg,66.5 kg,71.5 kg,76.5 kg,Absolute
2014,,Mackenzie Dern ( 1/2 ),Sophia McDermott Drysdale ( 2/2 ),Luiza Monteiro ( 4/4 ),,Andresa Correa ( 1/3 ),Gabrielle Garcia ( 4/4 )
2015,Patrícia Santos ( 1/3 ),Tammi Musumeci ( 2/3 ),Karen Antunes ( 1/1 ),Angelica Galvao ( 1/1 ),Andresa Correa ( 2/3 ),,Mackenzie Dern ( 2/2 )
2016,Patrícia Santos ( 2/3 ),Talita Alencar ( 1/3 ),Tammi Mesumeci ( 3/3 ),Amanda Alequin ( 1/1 ),Nathiely de Jesus ( 1/3 ),Andresa Correa ( 3/3 ),Nathiely de Jesus ( 2/3 )
2017,Patrícia Santos ( 3/3 ),Talita Alencar ( 2/3 ),Jena Bishop ( 1/1 ),Raquel Pa'aluhi ( 1/2 ),,Jéssica Flowers ( 1/4 ),Jéssica Flowers ( 2/4 )
2018,Mayssa Bastos ( 1/2 ),Ffion Davies ( 1/1 ),Catherine Perret ( 1/1 ),Beatriz Mesquita ( 4/5 ),Luanna Alzuguir ( 1/1 ),Nathiely de Jesus ( 3/3 ),Beatriz Mesquita ( 5/5 )
2019,Amanda Monteiro ( 1/1 ),Talita Alencar ( 3/3 ),Nathalie Ribeiro ( 1/1 ),Raquel Pa'aluhi ( 2/2 ),Vedha Toscano ( 1/1 ),Talita Nogueira ( 3/3 ),Jéssica Flowers ( 4/4 )
