Name,Born,Died,Category,Subcategory,Year Designated
Ichikawa Sadanji III ( 三代目市川左団次 ),1898,1969,Kabuki,Tachiyaku,1964
Ichikawa Jūkai III ( 三代目市川寿海 ),1886,1971,Kabuki,Tachiyaku,1960
Bandō Mitsugorō VIII ( 八代目坂東三津五郎 ),1906,1975,Kabuki,Tachiyaku,1973
Matsumoto Hakuō ( 初代松本白鸚 ),1910,1982,Kabuki,Tachiyaku,1975
Nakamura Ganjirō II ( 二代目中村鴈治郎 ),1902,1983,Kabuki,Tachiyaku,1967
Nakamura Kanzaburō XVII ( 十七代目中村勘三郎 ),1909,1988,Kabuki,Tachiyaku,1975
Onoe Shōroku II ( 二代目尾上松緑 ),1913,1989,Kabuki,Tachiyaku,1972
Kataoka Nizaemon XIII ( 十三代目片岡仁左衛門 ),1903,1994,Kabuki,Tachiyaku,1972
Ichimura Uzaemon XVII ( 十七代目市村羽左衛門 ),1916,2001,Kabuki,Tachiyaku,1990
Nakamura Tomijūrō V ( 五代目中村富十郎 ),1929,2011,Kabuki,Tachiyaku,1994
Onoe Baikō VII ( 七代目尾上梅幸 ),1915,1995,Kabuki,Onnagata,1968
Nakamura Utaemon VI ( 六代目中村歌右衛門 ),1917,2001,Kabuki,Onnagata,1968
Nakamura Jakuemon IV ( 四代目中村雀右衛門 ),1920,2012,Kabuki,Onnagata,1991
Onoe Taganojō III ( 三代目尾上多賀之丞 ),1887,1978,Kabuki,Fukeonnayaku,1968
Ichikawa Dannosuke VI ( 六代目市川団之助 ),1876,1963,Kabuki,Wakiyaku,1960
Nakamura Matagorō II ( 二代目中村又五郎 ),1914,2009,Kabuki,Wakiyaku,1997
Takemoto Hinatayū V ( 五代目竹本雛太夫 ),1898,1980,Kabuki,Takemoto,1978
Kineya Eizaemon ( 杵屋栄左衛門 ),1894,1982,Kabuki,Nagauta,1978
Yoshimura Gorōji II ( 二代目芳村五郎治 ),1901,1993,Kabuki,Nagauta,1981
Matsushima Jusaburō V ( 五代目松島寿三郎 ),1920,2007,Kabuki,Nagauta,1998
