Community,Airport name,Type,ICAO,IATA
Abingdon,Abingdon Airport,Public,YABI,ABG
Agnew,Agnew Airport,Public,,AGW
Alpha,Alpha Airport,Public,YAPH,ABH
Aramac,Aramac Airport,Public,YAMC,AXC
"Archerfield , Brisbane",Archerfield Airport,Public,YBAF,
Arrabury,Arrabury Airport,Public,YARY,AAB
Aurukun,Aurukun Airport,Public,YAUR,AUU
Badu Island,Badu Island Airport,Private,YBAU,BDD
Ballera gas plant,Ballera Airport,Private,YLLE,
Bamaga,Northern Peninsula Airport,Public,YNPE,ABM
Batavia Downs,Batavia Downs Airport,Public,YBTV,BVW
Barcaldine,Barcaldine Airport,Public,YBAR,BCI
Bedourie,Bedourie Airport,Public,YBIE,BEU
"Bilinga , Gold Coast",Gold Coast Airport,Public,YBCG,OOL
Biloela,Thangool Airport,Public,YTNG,THG
Birdsville,Birdsville Airport,Public,YBDV,BVI
Blackall,Blackall Airport,Public,YBCK,BKQ
Blackwater,Blackwater Airport,Public,YBTR,BLT
"Bluewater , Townsville",Bluewater Airport,Public,YBLP,BLP
Boigu Island,Boigu Island Airport,Public,YBOI,GIC
