Year,Movie,Language,Song,Composer
2004,Swades,Hindi,Pal Pal hai Bhaari,A. R. Rahman
2004,Lakshya,Hindi,Kandhon Se Milte Hain Kandhe,Shankar-Ehsaan-Loy
2004,Aga Bai Arrecha !,Marathi,Prabhatgeet,Ajay-Atul
2005,Netaji Subhas Chandra Bose : The Forgotten Hero,Hindi,Kadam Kadam,A. R. Rahman
2007,Cheeni Kum,Hindi,Sooni Sooni,Ilaiyaraaja
2008,Yuvvraaj,Hindi,Manamohini,A. R. Rahman
2008,Slumdog Millionaire,Hindi,"Jai Ho ( Only chorus , original song sung by Sukhwinder Singh )",A. R. Rahman
2009,Quick Gun Murugun,Hindi/English/Tamil,Kyun Keeda Hai Aapko,Sagar Desai
2009,Blue,Hindi,Fiqrana,A. R. Rahman
2009,Couples Retreat,English,Salvadore,A. R. Rahman
2009,Neelathaamara,Malayalam,Pakalonnu,Vidyasagar
2010,Raavan,Hindi,Beera Beera,A. R. Rahman
2011,Force,Hindi,Dil Ki Hai Tamanna,Harris Jayaraj
2012,Fatso,Hindi,Very Sorry,Sagar Desai
2013,August Club,Malayalam,Kaattu theno,Bennet Veetraag
2013,KQ,Malayalam,Idhuvare njan,Stephen Devassy
2013,Pattam Pole,Malayalam,Kannil kannilonnu nokki,M. Jayachandran
2015,Charlie,Malayalam,Oru Kari Mukilinu,Gopi Sunder
2016,Natsamrat,Marathi,Mituni Lochane,Ajit Parab
2016,Friends,Marathi,Premika,Pankaj Padhghan
