#,Name,Pos,College,GP,Seasons
11,DeSean Jackson,WR,California-Berkeley,39,2014-16
94,LaDairis Jackson,DE,Oregon State,16,2002-03
22,Leroy Jackson,RB,Western Illinois,15,1962-63
98/91/50,Rob Jackson,DE / LB,Kansas State,54,2008-13
53,Steve Jackson,LB,Texas-Arlington,25,1966-67
40,Wilbur Jackson,RB,Alabama,22,1980-82
83,Willie Jackson,WR,Florida,5,2002
77,Jack Jacobs,QB / RB,Oklahoma,9,1946
84,Taylor Jacobs,WR,Florida,38,2003-05
66,Joe Jacoby,OT,Louisville,170,1981-93
60,John Jaffurs,G,Penn State,8,1946
75,Harry Jagielski,OT,Indiana,5,1956
47,Dick James,RB,Oregon,99,1956-63
78,Erasmus James,DE,Wisconsin,5,2008
43,Vic Janowicz,HB,Ohio State,22,1954-55
76,Jon Jansen,OT,Michigan,126,1999-08
48,Jon Jaqua,S,Lewis & Clark,36,1970-72
90,Jeremy Jarmon,DE,Kentucky,16,2009-10
99,Ricky Jean Francois,DE,Louisiana State,32,2015-16
53,Jackson Jeffcoat,LB,Texas,9,2014-16
