Name,Location,Type
Alpine Energy Stadium,"Timaru , Canterbury",Rugby stadium
AMI Stadium,Christchurch,Rugby stadium
ASB Baypark,"Mount Maunganui , Bay of Plenty",multi-purpose stadium
ASB Football Park,Christchurch,multi-purpose stadium
Horncastle Arena,Christchurch,Multi-purpose indoor arena
Central Energy Trust Arena,"Palmerston North Central , Manawatu-Wanganui",Rugby stadium and motorcycle speedway
FMG Stadium Waikato,"Hamilton , Waikato",Rugby stadium
Forsyth Barr Stadium,"Dunedin , Otago",multi-purpose stadium
Vodafone Events Centre,Manukau City,Multi-purpose indoor arena
TSB Bank Arena,Wellington,Multi-purpose indoor arena
Westpac Stadium,Wellington,multi-purpose stadium
Spark Arena,Auckland,multi-purpose stadium
