Team,Location,Manager,Venue,Capacity,Last season
Assyriska,Södertälje,Robert Johansson,Södertälje Fotbollsarena,"6,700",4th
Falkenberg,Falkenberg,Thomas Askebrand,Falkenbergs IP,"4,000",7th
Jönköpings Södra,Jönköping,Olle Nordin Andreas Jankevics,Stadsparksvallen,"5,200",14th
Landskrona,Landskrona,Anders Linderoth,Landskrona IP,"12,000",11th
Ljungskile,Ljungskile,Bo Wålemark,Starke Arvid Arena,"6,000",14th ( Allsvenskan 2008 )
Mjällby,Mjällby,Peter Swärdh,Strandvallen,"7,500",8th
Norrköping,Norrköping,Göran Bergort,Idrottsparken,"19,000",16th ( Allsvenskan 2008 )
Qviding,Gothenburg,Lars Borgström,Valhalla IP,"4,000",10th
Sirius,Uppsala,Jens T. Andersson,Studenternas IP,"7,600",12th
GIF Sundsvall,Sundsvall,Sören Åkeby,Norrporten Arena,"7,700",15th ( Allsvenskan 2008 )
Syrianska,Södertälje,Özcan Melkemichel,Södertälje Fotbollsarena,"6,700",1st ( D1 Norra )
Trollhättan,Trollhättan,Lars-Olof Mattsson,Edsborgs IP,"5,100",1st ( D1 Södra )
Vasalund,Solna,Peter Lenell,Skytteholms IP,"4,000",2nd ( D1 Norra )
Väsby,Upplands Väsby,Thomas Lagerlöf,Vilundavallen,"4,000",9th
Åtvidaberg,Åtvidaberg,Daniel Wiklund,Kopparvallen,"7,200",6th
Ängelholm,Ängelholm,Roar Hansen,Ängelholms IP,"5,000",5th
