Name,Degree ( s ),Year ( s ),Notability
Paula Gunn Allen,B.A . M.F.A,1966 1968,"Native American poet , novelist"
Olga Broumas,M.A,1973,Poet
Eugene Gloria,M.F.A,1992,Poet
Ernest Haycox,B.A,1923,Writer of Western fiction ; his story Stage to Lordsburg was made into the 1939 movie Stagecoach
George Hitchcock,B.A,1935,Poet and publisher of the literary journal Kayak
Ken Kesey,B.S,1957,Author of One Flew Over the Cuckoo 's Nest and Sometimes a Great Notion
Chang-Rae Lee,M.F.A,1993,"Novelist , Native Speaker ; director of Princeton University 's Creative Writing program"
Chuck Palahniuk,B.A,1986,"Author of Fight Club , Choke , and Lullaby"
David Reiter,B.A,,"Author and poet : 1994 Queensland Premier 's Poetry Award , The Cave After Saltwater Tide - winner , 2012 Western Australian Premier 's Award , My Planets Reunion Memoir - winner , 2013 Canadian Children 's Book Centre Best Book for Teens and Kids , Bringing Down the Wall - winner"
William L. Sullivan,M.A,1979,Author of outdoor guide books
Brian Turner,M.F.A,1996,Poet
Sophus Keith Winther,B.S . M.A,1918 1919,Professor and novelist
