Date,Series,Circuit,City / State,Winner,Team,Car
25 Feb,ATCC Round 1,Amaroo Park,"Sydney , New South Wales",Jim Richards,Nissan Motorsport Australia,Nissan Skyline HR31 GTS-R
11 Mar,ATCC Round 2,Symmons Plains Raceway,"Launceston , Tasmania",Dick Johnson,Shell Ultra-Hi Racing,Ford Sierra RS500
25 Mar,ATCC Round 3,Phillip Island Grand Prix Circuit,"Phillip Island , Victoria",Dick Johnson,Shell Ultra-Hi Racing,Ford Sierra RS500
8 Apr,ATCC Round 4,Winton Motor Raceway,"Benalla , Victoria",Jim Richards,Nissan Motorsport Australia,Nissan Skyline HR31 GTS-R
6 May,ATCC Round 5,Lakeside International Raceway,"Brisbane , Queensland",Colin Bond,Caltex CXT Racing,Ford Sierra RS500
10 Jun,ATCC Round 6,Mallala Motor Sport Park,"Mallala , South Australia",Colin Bond,Caltex CXT Racing,Ford Sierra RS500
24 Jun,ATCC Round 7,Barbagallo Raceway,"Perth , Western Australia",Peter Brock,Mobil 1 Racing,Ford Sierra RS500
15 Jul,ATCC Round 8,Oran Park Raceway,"Sydney , New South Wales",Jim Richards,Nissan Motorsport Australia,Nissan Skyline R32 GT-R
9 Sep,Sandown 500 AEC Round 1,Sandown International Raceway,"Melbourne , Victoria",Glenn Seton George Fury,Peter Jackson Racing,Ford Sierra RS500
30 Sep,Tooheys 1000 AEC Round 2,Mount Panorama Circuit,"Bathurst , New South Wales",Win Percy Allan Grice,Holden Racing Team,Holden VL Commodore SS Group A SV
3-4 Nov,Ansett Air Freight Challenge,Adelaide Street Circuit,"Adelaide , South Australia",Glenn Seton,Peter Jackson Racing,Ford Sierra RS500
10 Nov,Nissan Sydney 500 AEC Round 3,Eastern Creek Raceway,"Sydney , New South Wales",Larry Perkins Tomas Mezera,Perkins Engineering,Holden VL Commodore SS Group A SV
