Name,Department,Elected,Notability
Emilio Bizzi,Brain and Cognitive Sciences,2002,Motor control ; President of the American Academy of Arts and Sciences ( 2006-2009 )
Joel Moses,Electrical Engineering and Computer Science,1999,Algebraic manipulation algorithms ; MACSYMA ; Provost of MIT ( 1995-1998 ) ; Dean of Engineering ( 1991-1995 )
John D.C. Little,Management,,Little 's law ; marketing ; e-commerce ; Branch and bound
Barbara Liskov,Electrical Engineering and Computer Science,2008,"Turing Award ( 2008 ) , John von Neumann Medal ( 2004 ) , contributions to data abstraction and programming languages"
Noam Chomsky,Linguistics,1976,Generative grammar ; Kyoto Prize ( 1988 ) ; political activist ; one of the most widely cited scholars alive
John M. Deutch,Chemistry,1990,Deputy Secretary of Defense ( 1994-1995 ) ; Director of Central Intelligence ( 1995-1996 ) ; Provost of MIT ( 1985-1990 )
Peter A. Diamond,Economics,1997,Social Security reform ; Nobel Prize in Economics ( 2010 )
Jerome I. Friedman,Physics,1991,Quantum chromodynamics ; Nobel Prize in Physics ( 1990 )
Mario Molina,"Earth , Atmosphere , and Planetary Sciences",1997,Stratospheric ozone chemistry ; Nobel Prize in Chemistry ( 1995 )
Isadore Singer,Mathematics,1987,Atiyah-Singer index theorem ; Abel Prize ( 2004 )
Robert M. Solow,Economics,1973,National Medal of Science ( 1999 ) ; John Bates Clark Medal ( 1961 ) ; Nobel Prize in Economics ( 1987 )
