Players,Date of Birth,Batting style,Bowling style
Sultan Zarawani ( c ),24 January 1961,Right hand,Right arm leg spin
Arshad Laeeq,28 November 1970,Right hand,Right-arm fast-medium
Azhar Saeed,25 December 1970,Left hand,Slow left-arm orthodox
Imtiaz Abbasi ( wk ),9 June 1968,Right hand,Wicket-keeper
Mazhar Hussain,25 October 1967,Right hand,Right-arm leg break
Mohammad Aslam,7 September 1961,Right hand,Right-arm fast
Mohammad Ishaq,7 March 1963,Right hand,Right-arm medium
Vijay Mehra,17 October 1963,Right hand,-
Ganesh Mylvaganam,1 August 1966,Right hand,-
Saeed-Al-Saffar,31 July 1968,Left hand,Left-arm fast-medium
Saleem Raza,5 July 1964,Right hand,Right-arm offbreak
Johanne Samarasekera,22 February 1968,Right hand,Right-arm medium-fast
Shaukat Dukanwala,21 January 1957,Right hand,Right-arm Offbreak
Shehzad Altaf,6 October 1957,Right hand,Right-arm medium
