Club Name,Home Town ( s ),Stadium,Capacity
Albirex Niigata,"Niigata & Seirō , Niigata",Big Swan Stadium,"42,300"
Kashima Antlers,"Kashima , Ibaraki",Kashima Soccer Stadium,"40,728"
Omiya Ardija,"Omiya , Saitama",NACK5 Stadium,"15,500"
Cerezo Osaka,Osaka,Nagai Stadium,"47,816"
Yokohama F. Marinos,Yokohama & Yokosuka,Nissan Stadium,"72,327"
Kawasaki Frontale,"Kawasaki , Kanagawa",Todoroki Athletics Stadium,"26,232"
Nagoya Grampus,"Nagoya , Aichi",Mizuho Athletic Stadium,"27,000"
Júbilo Iwata,"Iwata , Shizuoka",Yamaha Stadium,"15,165"
Oita Trinita,Ōita,Ōita Stadium,"40,000"
Urawa Red Diamonds,"Urawa , Saitama",Saitama Stadium,"63,700"
Kashiwa Reysol,"Kashiwa , Chiba",Kashiwa Soccer Stadium,"15,900"
Shimizu S-Pulse,Shizuoka,IAI Stadium Nihondaira,"20,339"
Sagan Tosu,"Tosu , Saga",Tosu Stadium,"24,490"
Sanfrecce Hiroshima,Hiroshima,Hiroshima Big Arch,"50,000"
Shonan Bellmare,"Hiratsuka , Kanagawa",Shonan BMW Stadium,"18,500"
FC Tokyo,Tokyo,Ajinomoto Stadium,"49,970"
Vegalta Sendai,"Sendai , Miyagi",Yurtec Stadium,"19,694"
Ventforet Kofu,"Kofu , Yamanashi",Yamanashi Chuo Bank Stadium,"17,000"
