Team,Location,Stadium,Capacity
Felda United,Kuala Lumpur,Hang Jebat Stadium,"35,000"
Johor FC,Pasir Gudang,Pasir Gudang Corporation Stadium,"15,000"
Kedah,Alor Setar,Darul Aman Stadium,"32,387"
Kelantan,Kota Bharu,Sultan Mohammad IV Stadium,"25,000"
Kuala Lumpur,Kuala Lumpur,Hang Jebat Stadium,"35,000"
Negeri Sembilan,Paroi,Tuanku Abdul Rahman Stadium,"40,000"
T-Team,Kuala Terengganu,Sultan Ismail Nasiruddin Shah Stadium,"15,000"
Perak,Ipoh,Perak Stadium,"42,500"
PKNS,Petaling Jaya,Petaling Jaya Stadium,"25,000"
Sabah,Kota Kinabalu,Likas Stadium,"35,000"
Sarawak,Kuching,Sarawak State Stadium,"26,000"
Selangor,Shah Alam,Shah Alam Stadium,"80,372"
LionsXII,Jalan Besar,Jalan Besar Stadium,"8,000"
Terengganu,Kuala Terengganu,Sultan Ismail Nasiruddin Shah Stadium,"15,000"
