Title,Year,Genre,Style,Notes
Sanshiro Sugata,1943,Action,Jujutsu Judo,
Sanshiro Sugata Part II,1943,Action,Judo,
Enter the Dragon,1973,Action,Jeet Kune Do Kung Fu,Bruce Lee 's final screen appearance before his death
Cordão de Ouro,1977,Action,Capoeira,
Knightriders,1981,Drama,,
The Karate Kid,1984,Family,Karate,Retired karate master Mr. Miyagi ( Pat Morita ) instructs a newcomer ( Ralph Macchio )
The Karate Kid Part II,1986,Family,Karate,Sequel to the 1984 hit
"No Retreat , No Surrender",1986,Action drama,MMA,A Seattle boy ends up fighting a Russian martial-arts star ( Jean-Claude Van Damme )
Bloodsport,1988,Action,MMA,"Frank Dux ( played by Van Damme ) , a Canadian , enters a competition in Hong Kong"
The Karate Kid Part III,1989,Family,Karate,Second sequel to the 1984 film
Best of the Best,1989,Action,Tae Kwon Do,Americans take on Koreans in a tae kwon do tournament . Eric Roberts stars
Kickboxer,1989,Action,Kickboxing & Muay Thai,An American and his brother end up in a life-or-death competition in Asia
Hard To Kill,1990,Action,Aikido,
Out For Justice,1991,Action,Aikido,
Sidekicks,1992,Action,Karate,"A boy with asthma fantasizes about being taught by Chuck Norris , and gets to compete alongside him in a tournament"
3 Ninjas,1992,Family,Karate,Three boys learn Ninjutsu from their Japanese grandfather
Only the Strong,1993,Action,Capoeira,An ex- Green Beret uses martial arts against Miami drug dealers
The Next Karate Kid,1994,Family,Karate,"Another sequel , this time with a girl ( Hilary Swank ) as Mr. Miyagi 's apt pupil"
Street Fighter II : The Animated Movie,1994,Action,Various,
Street Fighter,1994,Action,Various,
