Rank,Name,Nation
1,Aliki Stergiadu / Juris Razgulajevs,Soviet Union
2,Marina Morel / Gwendal Peizerat,France
3,Elena Kustarova / Sergei Romashkin,Soviet Union
4,Marina Anissina / Ilia Averbukh,Soviet Union
5,Marie-France Dubreuil / Bruno Yvars,Canada
6,Virginie Vuillemin / Rémi Jacquemard,France
7,Martine Patenaude / Eric Massé,Canada
8,Amélie Dion / Alexandre Alain,Canada
9,Kimberley Callahan / Robert Paul,United States
10,Barbara Fusar-Poli / Matteo Bonfa,Italy
11,Viera Poráčová / Pavol Poráč,Czechoslovakia
12,Agnieszka Domańska / Marcin Głowacki,Poland
13,Noémi Vedres / Endre Szentirmai,Hungary
14,Laurie Baker / David Kastan,United States
15,Kati Winkler / René Lohse,Germany
16,Daria-Larissa Maritczak / Ihor-Andrij Maritczak,Austria
17,Lisa Sheehan / Lachlan Coombe,United Kingdom
18,Sylvia Rau / Alexander Dworak,Germany
19,Sylwia Nowak / Sebastian Kolasiński,Poland
20,Ryn Aun Ae / Kim Young Ho,North Korea
