Pos,Name,Moving to,Type
DF,Wagner Diniz,São Paulo,Loan expiration
DF,André Astorga,Bragantino,End of contract
DF,Luizinho,Cruzeiro,Loan expiration
GK,Sérgio,Free Agent,End of contract
MF,Felipe Azevedo,Paulista,Loan expiration
DF,Eli Sabiá,Paulista,Loan expiration
DF,Adaílton,Free Agent,End of contract
FW,Jean,Free Agent,End of contract
DF,Paulo Henrique Rodrigues,Atlético-GO,Loan expiration
DF,Triguinho,São Caetano,Loan expiration
DF,Fabão,Free Agent,End of contract
FW,Kléber Pereira,Free Agent,End of contract
FW,Gil,Vila Nova,Contract termination
MF,Rodrigo Souto,São Paulo,Swapped
FW,Fabiano,Ipatinga,End of contract
MF,Dionísio,Oeste,End of contract
DF,Filipi Souza,SEV Hortolândia,End of contract
MF,Patrik,São Bento,End of contract
DF,Luciano Castan,União São João,Loan expiration
MF,Germano,Sport,Contract termination
