Portfolio,Minister,Minister 's province,Minister 's party,Opposition shadow minister
Prime Minister Autonomy and Autonomous regions,Sir Michael Somare,East Sepik,NA,Sir Mekere Morauta ( PNGP )
Deputy Prime Minister Works,Sam Abal,Enga,NA,"( Transport , Civil Aviation , Works ) Tony Puana ( NGP )"
Finance and Treasury,Peter O'Neill,Southern Highlands,PNC,Bart Philemon ( NGP )
Public Service,Moses Maladina,,RDP,Isaac Joseph ( NGP )
Trade Bougainville Affairs,Fidelis Semoso,East Sepik,PAP,( Bougainville ) Koni Iguan ( PLP )
Education,James Marape,,NA,Ferao Orimyo ( PNGP )
National Planning Rural Development,Paul Tiensten,East New Britain,NA,
Commerce Industry,Gabriel Kapris,East Sepik,PAP,Bonny Oveyara ( PPP )
Petroleum and Energy,William Duma,Western Highlands,URP,Francis Potabe Mulungu ( NGP )
Housing and Urban Development,Andrew Kumbakor,West Sepik,Pangu,Theo Zurenouc ( PPP )
Defence,Bob Dadae,Morobe,UP,
"Higher Education , Research , Science and Technology",Paru Aihi,,PNGP,
Justice Attorney-General,Sir Arnold Amet,,NA,
Community Development Women Religion,Dame Carol Kidu,NCD,MA,
Public Enterprises,Arthur Somare,East Sepik,NA,Sir Mekere Morauta ( PNGP )
Agriculture and Livestock,Ano Pala,Central,NA,Puri Ruing ( PNGP )
Environment and Conservation,Benny Allan,Eastern Highlands,URP,
Sports,Philemon Embel,Southern Highlands,Pangu,
Labour and Industrial Relations,Sani Rambi,Western Highlands,NA,Sam Basil ( PPP )
