Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Alfred Jenkins,WR,Morris Brown,SIAC
Cincinnati Bengals,Brad Cousino,LB,Miami,MAC
Cleveland Browns,Robert Jackson,G,Duke,ACC
Dallas Cowboys,Percy Howard,WR,Austin Peay,OVC
Dallas Cowboys,Jim Zorn,QB,Cal Poly Pomona,CCAA
Denver Broncos,Jack Dolbin,WR,Wake Forest,ACC
Denver Broncos,Bob Swenson,LB,California,Pac-8
Green Bay Packers,Johnnie Gray,S,Cal State Fullerton,Big West
Houston Oilers,Greg Stemrick,CB,Colorado State,WAC
Houston Oilers,Ted Thompson,LB,SMU,SWC
Miami Dolphins,Earnest Rhone,LB,Henderson State,Arkansas
New Orleans Saints,Rusty Chambers,LB,Tulane,Ind
New Orleans Saints,Sylvester Croom,C,Alabama,SEC
New York Jets,J. J. Jones,QB,Fisk,
Oakland Raiders,Mike Reinfeldt,S,Wisconsin-Milwaukee,Ind . ( Div . III )
Pittsburgh Steelers,John Banaszak,DT,Eastern Michigan,MAC
San Francisco 49ers,Bill Larson,TE,Colorado State,WAC
Washington Redskins,Pete Wysocki,LB,Western Michigan,MAC
