Year,Host,Winner,Score,Runner-up
2008,Sheldon,Hills North,3-2,Adelaide Southern
2009,Gold Coast,Waverley,11-1 ( F/4 ),Adelaide Southern
2010,Gold Coast,Adelaide Southern,4-3,Ringwood District
2011,Gold Coast,Adelaide Southern,2-1,Perth Metro North ( Perth )
2012,Gold Coast,Perth Metro North ( Perth ),29-2 ( F/4 ),Yarra Rangers
2013,Gold Coast,Perth Central ( Perth ),8-2,Adelaide South ( Adelaide )
2014,Gold Coast,Perth Metro North ( Perth ),3-2 ( F/7 ),Manly ( Manly )
2015,Lismore,Cronulla ( Sydney ),7-3,Swan Hills ( Perth )
2016,Lismore,Hills ( Sydney ),8-2,Central Coast ( Gosford )
2017,Sydney *,Hills ( Sydney ),8-4,Swan Hills ( Perth )
2018,Lismore,Gold Coast Cougars,11-0 ( F/4 ),Adelaide Seahawks
2019,Lismore,Cronulla ( Sydney ),5-2,Ryde Red
