Year,Time,Athlete,Location
1968,52.03,Colette Besson ( FRA ),Mexico
1969,51.72,Nicole Duclos ( FRA ),Athens
1970,51.02,Marilyn Neufville ( JAM ),Edinburgh
1971,52.14,Helga Seidler ( GDR ),Helsinki
1972,51.08,Monika Zehrt ( GDR ),Munich
1973,51.27,Mona-Lisa Pursiainen ( FIN ),Helsinki
1974,50.14,Riitta Salin ( FIN ),Rome
1975,50.50,Irena Szewinska ( POL ),Nice
1976,49.28,Irena Szewinska ( POL ),Montreal
1977,49.52,Irena Szewinska ( POL ),Düsseldorf
1978,48.94,Marita Koch ( GDR ),Prague
1979,48.60,Marita Koch ( GDR ),Potsdam
1980,48.88,Marita Koch ( GDR ),Moscow
1981,48.61,Jarmila Kratochvílová ( CZE ),Rome
1982,48.16,Marita Koch ( GDR ),Athens
1983,47.99,Jarmila Kratochvílová ( CZE ),Helsinki
1984,48.16,Marita Koch ( GDR ),Prague
1985,47.60,Marita Koch ( GDR ),Canberra
