Years,Building,City,Height ( CTBUH ),Floors
1975-present,First Canadian Place,Toronto,"298.1 m ( 978 ft ) ( 355 m ( 1,165 ft ) tip )",72
1972-1975,Commerce Court West,Toronto,239 m ( 784 ft ) ( 287 m ( 942 ft ) tip ),57
1967-1972,Toronto-Dominion Centre,Toronto,222.8 m ( 731 ft ),56
1964-1967,Tour de la Bourse,Montreal,190 m ( 623 ft ),47
1962-1964,Place Ville-Marie,Montreal,188 m ( 617 ft ),44
1962,Tour CIBC,Montreal,184 m ( 604 ft ) ( 225.6 m ( 740 ft ) tip ),45
1931-1962,Commerce Court North,Toronto,145 m ( 476 ft ),34
1929-1931,Fairmont Royal York Hotel,Toronto,124 m ( 407 ft ),28
1928-1929,Tour de la Banque Royale,Montreal,121 m ( 397 ft ),22
1899-1928,Toronto City Hall,Toronto,103.64 m ( 340 ft ),7
1874-1899,St James Cathedral ( Spire Completion ),Toronto,92.9 m ( 305 ft ),NA
1829-1874,Notre Dame Basilica,Montreal,69 m ( 226 ft ),7
1743-1829,Cathedral-Basilica of Notre-Dame de Québec,Quebec City,50 m ( 160 ft ),NA
