Team,Chairman,Head coach,Manufacturer,Sponsors
ASM Oran,Mohamed El Morro,Kamel Mouassa,Sarson,ATM Mobilis
CR Belouizdad,Réda Malek,Alain Michel,Nike,"Ooredoo , CNEP Banque"
CS Constantine,Mohamed Haddad,Hubert Velud,Macron,"Tassili Airlines , ATM Mobilis"
ES Sétif,Hassan Hammar,Kheirredine Madoui,Joma,Djezzy GSM
JS Kabylie,Mohand Chérif Hannachi,Dominique Bijotat,Luanvi,Ooredoo
RC Arbaâ,Djamel Amani,Billel Dziri,Joma,ATM Mobilis
RC Relizane,Djilali Azzi,Omar Belatoui,,
JS Saoura,Mohamed Zerouati,Bernard Simondi,KCS,Enafor
MC Alger,Abdelkrim Raissi,Artur Jorge,Joma,"Djezzy GSM , Sonatrach"
MC Oran,Ahmed Belhadj,Jean-Michel Cavalli,Sarson,"Naftal , Ooredoo , Aigle Azur"
NA Hussein Dey,Mahfoud Ould Zmirli,Abdelkader Yaiche,Joma,ATM Mobilis
USM Alger,Ali Haddad,Miloud Hamdi ( C ),adidas,"Djezzy GSM , ETRHB Haddad , Sonelgaz"
USM El Harrach,Mohamed Laïb,Boualem Charef,Patrick,ATM Mobilis
USM Blida,Mohamed Douidene,Djamel Benchadli,Sarson,ATM Mobilis
MO Béjaïa,Nacer Maouche,Alain Geiger,Macron,ATM Mobilis
